"geneA" "geneB" "iRef" "GEO" "GO" "pathW"
"1" "1" "3" "0.7909" "0.7627" "0.8660" "0.6944"
"2" "1" "6" "0.8438" "0.8489" "0.9684" "0.9477"
"3" "1" "7" "0.8536" "0.5830" "0.8197" "0.5627"
"4" "1" "8" "0.7920" "0.9408" "0.9420" "0.9143"
"5" "1" "9" "0.6666" "0.8674" "0.7476" "0.6174"
"6" "1" "10" "0.9125" "0.9215" "0.8640" "0.7788"
"7" "1" "11" "0.6505" "0.3939" "0.7456" "0.8501"
"8" "1" "12" "0.9494" "0.9884" "0.9887" "0.9400"
"9" "1" "15" "0.8667" "0.5289" "0.7589" "0.5948"
"10" "1" "16" "0.9756" "0.9085" "0.9166" "0.9303"
"11" "1" "17" "0.8727" "0.8423" "0.9790" "0.9542"
"12" "1" "18" "0.9240" "0.6780" "0.5881" "0.8976"
"13" "1" "19" "0.8758" "0.6822" "0.7381" "0.6846"
"14" "1" "20" "0.8452" "0.9278" "0.8130" "0.9614"
"15" "2" "6" "0.6942" "0.8907" "0.4172" "0.4746"
"16" "2" "7" "0.8330" "0.9690" "0.9763" "0.9424"
"17" "2" "8" "0.7355" "0.6923" "0.6781" "0.6836"
"18" "2" "9" "0.4450" "0.3660" "0.6211" "0.1699"
"19" "2" "10" "0.8438" "0.6585" "0.8993" "0.5170"
"20" "2" "11" "0.8909" "0.6533" "0.2851" "0.6456"
"21" "2" "12" "0.9457" "0.9074" "0.9161" "0.8745"
"22" "2" "13" "0.6316" "0.6636" "0.9315" "0.9025"
"23" "2" "14" "0.9235" "0.9461" "0.8384" "0.9816"
"24" "2" "15" "0.9160" "0.4303" "0.7615" "0.9487"
"25" "2" "17" "0.6846" "0.6164" "0.5633" "0.8787"
"26" "2" "18" "0.7441" "0.9817" "0.8758" "0.7029"
"27" "2" "19" "0.5501" "0.4795" "0.5334" "0.7505"
"28" "2" "20" "0.9374" "0.9208" "0.9092" "0.6085"
"29" "3" "4" "0.5883" "0.5331" "0.5622" "0.5860"
"30" "3" "6" "0.4654" "0.7909" "0.8681" "0.3156"
"31" "3" "7" "0.7416" "0.7848" "0.8377" "0.8541"
"32" "3" "8" "0.6124" "0.7924" "0.8769" "0.8023"
"33" "3" "9" "0.9050" "0.5714" "0.4884" "0.7813"
"34" "3" "10" "0.9136" "0.9437" "0.8989" "0.8676"
"35" "3" "11" "0.5460" "0.5691" "0.4981" "0.7383"
"36" "3" "12" "0.9816" "0.9846" "0.9100" "0.9294"
"37" "3" "13" "0.9185" "0.8814" "0.9538" "0.9478"
"38" "3" "14" "0.9734" "0.9011" "0.8733" "0.8269"
"39" "3" "15" "0.8993" "0.8590" "0.6928" "0.9337"
"40" "3" "16" "0.6876" "0.5627" "0.8165" "0.6721"
"41" "3" "17" "0.8383" "0.7953" "0.6598" "0.3559"
"42" "3" "18" "0.5925" "0.7850" "0.7667" "0.7905"
"43" "3" "19" "0.8256" "0.5344" "0.7319" "0.7075"
"44" "3" "20" "0.9493" "0.9006" "0.8822" "0.9423"
"45" "4" "6" "0.5360" "0.7638" "0.4553" "0.8846"
"46" "4" "7" "0.8382" "0.6129" "0.6630" "0.5507"
"47" "4" "9" "0.3713" "0.6851" "0.9172" "0.7786"
"48" "4" "10" "0.9486" "0.9370" "0.7235" "0.8521"
"49" "4" "11" "0.5249" "0.6406" "0.6732" "0.4456"
"50" "4" "12" "0.9280" "0.9495" "0.8996" "0.7265"
"51" "4" "14" "0.8625" "0.9242" "0.9576" "0.8240"
"52" "4" "15" "0.7936" "0.7772" "0.7963" "0.9198"
"53" "4" "16" "0.6288" "0.8334" "0.7787" "0.7218"
"54" "4" "17" "0.8248" "0.6108" "0.9534" "0.9571"
"55" "4" "20" "0.9039" "0.8717" "0.9154" "0.9865"
"56" "5" "6" "0.8757" "0.7961" "0.9320" "0.8440"
"57" "5" "7" "0.8950" "0.6166" "0.7929" "0.7070"
"58" "5" "8" "0.7999" "0.9130" "0.9752" "0.9322"
"59" "5" "11" "0.5918" "0.6863" "0.3176" "0.5700"
