"gene_id" "cluster"
"1" 1 3
"2" 2 3
"3" 3 21
"4" 4 18
"5" 5 3
"6" 6 3
"7" 7 3
"8" 8 3
"9" 9 3
"10" 10 3
"11" 11 3
"12" 12 3
"13" 13 3
"14" 14 3
"15" 15 21
"16" 16 21
"17" 17 3
"18" 18 3
"19" 19 3
"20" 20 3
"21" 21 3
"22" 22 21
"23" 23 3
"24" 24 1
"25" 25 1
"26" 26 4
"27" 27 3
"28" 28 3
"29" 29 3
"30" 30 3
"31" 31 14
"32" 32 3
"33" 33 3
"34" 34 3
"35" 35 1
"36" 36 3
"37" 37 3
"38" 38 3
"39" 39 3
"40" 40 3
"41" 41 0
"42" 42 21
"43" 43 3
"44" 44 3
"45" 45 3
"46" 46 21
"47" 47 4
"48" 48 21
"49" 49 0
"50" 50 3
"51" 51 3
"52" 52 3
"53" 53 3
"54" 54 1
"55" 55 3
"56" 56 1
"57" 57 21
"58" 58 3
"59" 59 3
"60" 60 3
"61" 61 3
"62" 62 21
"63" 63 3
"64" 64 3
"65" 65 3
"66" 66 3
"67" 67 21
"68" 68 21
"69" 69 21
"70" 70 3
"71" 71 3
"72" 72 3
"73" 73 3
"74" 74 3
"75" 75 0
"76" 76 21
"77" 77 3
"78" 78 7
"79" 79 3
"80" 80 3
"81" 81 7
"82" 82 21
"83" 83 0
"84" 84 3
"85" 85 3
"86" 86 21
"87" 87 21
"88" 88 3
"89" 89 3
"90" 90 3
"91" 91 3
"92" 92 21
"93" 93 0
"94" 94 3
"95" 95 3
"96" 96 3
"97" 97 3
"98" 98 3
"99" 99 3
"100" 100 3
"101" 101 3
"102" 102 21
"103" 103 3
"104" 104 21
"105" 105 18
"106" 106 3
"107" 107 3
"108" 108 3
"109" 109 3
"110" 110 3
"111" 111 3
"112" 112 3
"113" 113 3
"114" 114 3
"115" 115 0
"116" 116 21
"117" 117 3
"118" 118 0
"119" 119 3
"120" 120 3
"121" 121 17
"122" 122 3
"123" 123 3
"124" 124 21
"125" 125 3
"126" 126 3
"127" 127 21
"128" 128 1
"129" 129 3
"130" 130 3
"131" 131 3
"132" 132 3
"133" 133 3
"134" 134 3
"135" 135 0
"136" 136 3
"137" 137 3
"138" 138 3
"139" 139 3
"140" 140 3
"141" 141 21
"142" 142 3
"143" 143 0
"144" 144 21
"145" 145 3
"146" 146 3
"147" 147 21
"148" 148 3
"149" 149 21
"150" 150 3
"151" 151 14
"152" 152 3
"153" 153 3
"154" 154 3
"155" 155 3
"156" 156 3
"157" 157 3
"158" 158 3
"159" 159 3
"160" 160 3
"161" 161 3
"162" 162 21
"163" 163 3
"164" 164 3
"165" 165 3
"166" 166 3
"167" 167 3
"168" 168 15
"169" 169 3
"170" 170 3
"171" 171 3
"172" 172 3
"173" 173 0
"174" 174 17
"175" 175 18
"176" 176 21
"177" 177 3
"178" 178 3
"179" 179 3
"180" 180 3
"181" 181 3
"182" 182 0
"183" 183 3
"184" 184 3
"185" 185 3
"186" 186 3
"187" 187 21
"188" 188 3
"189" 189 3
"190" 190 0
"191" 191 3
"192" 192 3
"193" 193 1
"194" 194 15
"195" 195 3
"196" 196 3
"197" 197 3
"198" 198 21
"199" 199 3
"200" 200 21
