Input Value	Input Type	Gene ID	
ENSG00000000003	Ensembl Gene ID	7105	
ENSG00000000005	Ensembl Gene ID	64102	
ENSG00000000419	Ensembl Gene ID	8813	
ENSG00000000457	Ensembl Gene ID	57147	
ENSG00000000460	Ensembl Gene ID	55732	
ENSG00000000938	Ensembl Gene ID	2268	
ENSG00000000971	Ensembl Gene ID	3075	
ENSG00000001036	Ensembl Gene ID	2519	
ENSG00000001084	Ensembl Gene ID	2729	
ENSG00000001167	Ensembl Gene ID	4800	
ENSG00000001460	Ensembl Gene ID	90529	
ENSG00000001461	Ensembl Gene ID	57185	
ENSG00000001497	Ensembl Gene ID	81887	
ENSG00000001561	Ensembl Gene ID	22875	
ENSG00000001617	Ensembl Gene ID	6405	
ENSG00000001626	Ensembl Gene ID	1080	
ENSG00000001629	Ensembl Gene ID	54467	
ENSG00000001630	Ensembl Gene ID	1595	
ENSG00000001631	Ensembl Gene ID	889	
ENSG00000002016	Ensembl Gene ID	5893	
ENSG00000002079	Ensembl Gene ID	-	
ENSG00000002330	Ensembl Gene ID	572	
ENSG00000002549	Ensembl Gene ID	51056	
ENSG00000002586	Ensembl Gene ID	4267	
ENSG00000002587	Ensembl Gene ID	9957	
ENSG00000002726	Ensembl Gene ID	26	
ENSG00000002745	Ensembl Gene ID	51384	
ENSG00000002746	Ensembl Gene ID	102724911; 23072	
ENSG00000002822	Ensembl Gene ID	8379	
ENSG00000002834	Ensembl Gene ID	3927	
ENSG00000002919	Ensembl Gene ID	29916	
ENSG00000002933	Ensembl Gene ID	55365	
ENSG00000003056	Ensembl Gene ID	4074	
ENSG00000003096	Ensembl Gene ID	90293	
ENSG00000003137	Ensembl Gene ID	56603	
ENSG00000003147	Ensembl Gene ID	3382	
ENSG00000003249	Ensembl Gene ID	79007	
ENSG00000003393	Ensembl Gene ID	57679	
ENSG00000003400	Ensembl Gene ID	843	
ENSG00000003402	Ensembl Gene ID	8837	
ENSG00000003436	Ensembl Gene ID	7035	
ENSG00000003509	Ensembl Gene ID	55471	
ENSG00000003756	Ensembl Gene ID	10181	
ENSG00000003987	Ensembl Gene ID	9108	
ENSG00000003989	Ensembl Gene ID	6542	
ENSG00000004059	Ensembl Gene ID	381	
ENSG00000004139	Ensembl Gene ID	23098	
ENSG00000004142	Ensembl Gene ID	26073	
ENSG00000004399	Ensembl Gene ID	23129	
ENSG00000004455	Ensembl Gene ID	204	
ENSG00000004468	Ensembl Gene ID	952	
ENSG00000004478	Ensembl Gene ID	2288	
ENSG00000004487	Ensembl Gene ID	23028	
ENSG00000004534	Ensembl Gene ID	10180	
ENSG00000004660	Ensembl Gene ID	84254	
ENSG00000004700	Ensembl Gene ID	5965	
ENSG00000004766	Ensembl Gene ID	55610	
ENSG00000004776	Ensembl Gene ID	126393	
ENSG00000004777	Ensembl Gene ID	115703	
ENSG00000004779	Ensembl Gene ID	4706	
ENSG00000004799	Ensembl Gene ID	5166	
ENSG00000004809	Ensembl Gene ID	85413	
ENSG00000004838	Ensembl Gene ID	51364	
ENSG00000004846	Ensembl Gene ID	340273	
ENSG00000004848	Ensembl Gene ID	170302	
ENSG00000004864	Ensembl Gene ID	10165	
ENSG00000004866	Ensembl Gene ID	7982; 93655	
ENSG00000004897	Ensembl Gene ID	996	
ENSG00000004939	Ensembl Gene ID	6521	
ENSG00000004948	Ensembl Gene ID	799	
ENSG00000004961	Ensembl Gene ID	3052	
ENSG00000004975	Ensembl Gene ID	1856	
ENSG00000005001	Ensembl Gene ID	64063	
ENSG00000005007	Ensembl Gene ID	5976	
ENSG00000005020	Ensembl Gene ID	8935	
ENSG00000005022	Ensembl Gene ID	292	
ENSG00000005059	Ensembl Gene ID	55013	
ENSG00000005073	Ensembl Gene ID	3207	
ENSG00000005075	Ensembl Gene ID	5439	
ENSG00000005100	Ensembl Gene ID	56919	
ENSG00000005102	Ensembl Gene ID	4222	
ENSG00000005108	Ensembl Gene ID	221981	
ENSG00000005156	Ensembl Gene ID	3980	
ENSG00000005175	Ensembl Gene ID	79657	
ENSG00000005187	Ensembl Gene ID	6296	
ENSG00000005189	Ensembl Gene ID	81691	
ENSG00000005194	Ensembl Gene ID	57019	
ENSG00000005206	Ensembl Gene ID	56928	
ENSG00000005238	Ensembl Gene ID	80256	
ENSG00000005243	Ensembl Gene ID	51226	
ENSG00000005249	Ensembl Gene ID	5577	
ENSG00000005302	Ensembl Gene ID	10943	
ENSG00000005339	Ensembl Gene ID	1387	
ENSG00000005379	Ensembl Gene ID	9256	
ENSG00000005381	Ensembl Gene ID	4353	
ENSG00000005421	Ensembl Gene ID	5444	
ENSG00000005436	Ensembl Gene ID	6936	
ENSG00000005448	Ensembl Gene ID	84058	
ENSG00000005469	Ensembl Gene ID	54677	
ENSG00000005471	Ensembl Gene ID	5244	
ENSG00000005483	Ensembl Gene ID	55904	
ENSG00000005486	Ensembl Gene ID	57414	
ENSG00000005513	Ensembl Gene ID	30812	
ENSG00000005700	Ensembl Gene ID	25998	
ENSG00000005801	Ensembl Gene ID	7748	
ENSG00000005810	Ensembl Gene ID	23077	
ENSG00000005812	Ensembl Gene ID	26224	
ENSG00000005844	Ensembl Gene ID	3683	
ENSG00000005882	Ensembl Gene ID	5164	
ENSG00000005884	Ensembl Gene ID	3675	
ENSG00000005889	Ensembl Gene ID	7543	
ENSG00000005893	Ensembl Gene ID	3920	
ENSG00000005961	Ensembl Gene ID	3674	
ENSG00000005981	Ensembl Gene ID	51666	
ENSG00000006007	Ensembl Gene ID	51573	
ENSG00000006015	Ensembl Gene ID	55049	
ENSG00000006016	Ensembl Gene ID	9244	
ENSG00000006025	Ensembl Gene ID	114881	
ENSG00000006042	Ensembl Gene ID	26022	
ENSG00000006047	Ensembl Gene ID	51087	
ENSG00000006059	Ensembl Gene ID	3883	
ENSG00000006062	Ensembl Gene ID	9020	
ENSG00000006071	Ensembl Gene ID	6833	
ENSG00000006116	Ensembl Gene ID	10368	
ENSG00000006118	Ensembl Gene ID	54972	
ENSG00000006125	Ensembl Gene ID	163	
ENSG00000006128	Ensembl Gene ID	6863	
ENSG00000006194	Ensembl Gene ID	10127	
ENSG00000006210	Ensembl Gene ID	6376	
ENSG00000006282	Ensembl Gene ID	64847	
ENSG00000006283	Ensembl Gene ID	8913	
ENSG00000006327	Ensembl Gene ID	51330	
ENSG00000006377	Ensembl Gene ID	1750	
ENSG00000006432	Ensembl Gene ID	4293	
ENSG00000006451	Ensembl Gene ID	5898	
ENSG00000006453	Ensembl Gene ID	55971	
ENSG00000006459	Ensembl Gene ID	80853	
ENSG00000006468	Ensembl Gene ID	2115	
ENSG00000006530	Ensembl Gene ID	55750	
ENSG00000006534	Ensembl Gene ID	221	
ENSG00000006555	Ensembl Gene ID	55001	
ENSG00000006576	Ensembl Gene ID	57157	
ENSG00000006606	Ensembl Gene ID	10344	
ENSG00000006607	Ensembl Gene ID	9855	
ENSG00000006611	Ensembl Gene ID	10083	
ENSG00000006625	Ensembl Gene ID	79017	
ENSG00000006634	Ensembl Gene ID	10926	
ENSG00000006638	Ensembl Gene ID	6915	
ENSG00000006652	Ensembl Gene ID	3475	
ENSG00000006659	Ensembl Gene ID	56891	
ENSG00000006695	Ensembl Gene ID	1352	
ENSG00000006704	Ensembl Gene ID	9569	
ENSG00000006712	Ensembl Gene ID	54623	
ENSG00000006715	Ensembl Gene ID	27072	
ENSG00000006740	Ensembl Gene ID	9912	
ENSG00000006744	Ensembl Gene ID	60528	
ENSG00000006747	Ensembl Gene ID	85477	
ENSG00000006756	Ensembl Gene ID	414	
ENSG00000006757	Ensembl Gene ID	8228	
ENSG00000006788	Ensembl Gene ID	8735	
ENSG00000006831	Ensembl Gene ID	79602	
ENSG00000006837	Ensembl Gene ID	51265	
ENSG00000007001	Ensembl Gene ID	151531	
ENSG00000007038	Ensembl Gene ID	10942	
ENSG00000007047	Ensembl Gene ID	57787	
ENSG00000007062	Ensembl Gene ID	8842	
ENSG00000007080	Ensembl Gene ID	115098	
ENSG00000007129	Ensembl Gene ID	90273	
ENSG00000007168	Ensembl Gene ID	5048	
ENSG00000007171	Ensembl Gene ID	4843	
ENSG00000007174	Ensembl Gene ID	1770	
ENSG00000007202	Ensembl Gene ID	9703	
ENSG00000007216	Ensembl Gene ID	9058	
ENSG00000007237	Ensembl Gene ID	8522	
ENSG00000007255	Ensembl Gene ID	79090	
ENSG00000007264	Ensembl Gene ID	4145	
ENSG00000007306	Ensembl Gene ID	1087	
ENSG00000007312	Ensembl Gene ID	974	
ENSG00000007314	Ensembl Gene ID	6329	
ENSG00000007341	Ensembl Gene ID	54879	
ENSG00000007350	Ensembl Gene ID	8277	
ENSG00000007372	Ensembl Gene ID	5080	
ENSG00000007376	Ensembl Gene ID	113000	
ENSG00000007384	Ensembl Gene ID	64285	
ENSG00000007392	Ensembl Gene ID	55692	
ENSG00000007402	Ensembl Gene ID	9254	
ENSG00000007516	Ensembl Gene ID	8938	
ENSG00000007520	Ensembl Gene ID	115939	
ENSG00000007541	Ensembl Gene ID	9091	
ENSG00000007545	Ensembl Gene ID	57585	
ENSG00000007866	Ensembl Gene ID	7005	
ENSG00000007908	Ensembl Gene ID	6401	
ENSG00000007923	Ensembl Gene ID	55735	
ENSG00000007933	Ensembl Gene ID	2328	
ENSG00000007944	Ensembl Gene ID	29116	
ENSG00000007952	Ensembl Gene ID	27035	
ENSG00000007968	Ensembl Gene ID	1870	
ENSG00000008018	Ensembl Gene ID	5689	
ENSG00000008056	Ensembl Gene ID	6853	
ENSG00000008083	Ensembl Gene ID	3720	
ENSG00000008086	Ensembl Gene ID	6792	
ENSG00000008118	Ensembl Gene ID	57172	
ENSG00000008128	Ensembl Gene ID	728642; 984	
ENSG00000008130	Ensembl Gene ID	65220	
ENSG00000008196	Ensembl Gene ID	7021	
ENSG00000008197	Ensembl Gene ID	83741	
ENSG00000008226	Ensembl Gene ID	9940	
ENSG00000008256	Ensembl Gene ID	9265	
ENSG00000008277	Ensembl Gene ID	53616	
ENSG00000008282	Ensembl Gene ID	6856	
ENSG00000008283	Ensembl Gene ID	1534	
ENSG00000008294	Ensembl Gene ID	9043	
ENSG00000008300	Ensembl Gene ID	1951	
ENSG00000008311	Ensembl Gene ID	10157	
ENSG00000008323	Ensembl Gene ID	55200	
ENSG00000008324	Ensembl Gene ID	51188	
ENSG00000008382	Ensembl Gene ID	84954	
ENSG00000008394	Ensembl Gene ID	4257	
ENSG00000008405	Ensembl Gene ID	1407	
ENSG00000008438	Ensembl Gene ID	8993	
ENSG00000008441	Ensembl Gene ID	4784	
ENSG00000008513	Ensembl Gene ID	6482	
ENSG00000008516	Ensembl Gene ID	64386	
ENSG00000008517	Ensembl Gene ID	9235	
ENSG00000008710	Ensembl Gene ID	5310	
ENSG00000008735	Ensembl Gene ID	23542	
ENSG00000008838	Ensembl Gene ID	9862	
ENSG00000008853	Ensembl Gene ID	23221	
ENSG00000008869	Ensembl Gene ID	54497	
ENSG00000008952	Ensembl Gene ID	7095	
ENSG00000008988	Ensembl Gene ID	6224	
ENSG00000009307	Ensembl Gene ID	7812	
ENSG00000009335	Ensembl Gene ID	9690	
ENSG00000009413	Ensembl Gene ID	5980	
ENSG00000009694	Ensembl Gene ID	10178	
ENSG00000009709	Ensembl Gene ID	5081	
ENSG00000009724	Ensembl Gene ID	10747	
ENSG00000009765	Ensembl Gene ID	389434	
ENSG00000009780	Ensembl Gene ID	199870	
ENSG00000009790	Ensembl Gene ID	80342	
ENSG00000009830	Ensembl Gene ID	29954	
ENSG00000009844	Ensembl Gene ID	51534	
ENSG00000009950	Ensembl Gene ID	51085	
ENSG00000009954	Ensembl Gene ID	9031	
ENSG00000010017	Ensembl Gene ID	10048	
ENSG00000010030	Ensembl Gene ID	51513	
ENSG00000010072	Ensembl Gene ID	83932	
ENSG00000010165	Ensembl Gene ID	51603	
ENSG00000010219	Ensembl Gene ID	8798	
ENSG00000010244	Ensembl Gene ID	7756	
ENSG00000010256	Ensembl Gene ID	7384	
ENSG00000010270	Ensembl Gene ID	83930	
ENSG00000010278	Ensembl Gene ID	928	
ENSG00000010282	Ensembl Gene ID	57467	
ENSG00000010292	Ensembl Gene ID	9918	
ENSG00000010295	Ensembl Gene ID	25900	
ENSG00000010310	Ensembl Gene ID	2696	
ENSG00000010318	Ensembl Gene ID	51533	
ENSG00000010319	Ensembl Gene ID	56920	
ENSG00000010322	Ensembl Gene ID	11188	
ENSG00000010327	Ensembl Gene ID	23166	
ENSG00000010361	Ensembl Gene ID	80199	
ENSG00000010379	Ensembl Gene ID	6540	
ENSG00000010404	Ensembl Gene ID	3423	
ENSG00000010438	Ensembl Gene ID	5646; 5645; 102725325	
ENSG00000010539	Ensembl Gene ID	7752	
ENSG00000010610	Ensembl Gene ID	920	
ENSG00000010626	Ensembl Gene ID	10233	
ENSG00000010671	Ensembl Gene ID	695	
ENSG00000010704	Ensembl Gene ID	3077	
ENSG00000010803	Ensembl Gene ID	22955	
ENSG00000010810	Ensembl Gene ID	2534	
ENSG00000010818	Ensembl Gene ID	3097	
ENSG00000010932	Ensembl Gene ID	2326	
ENSG00000011007	Ensembl Gene ID	6924	
ENSG00000011009	Ensembl Gene ID	11313	
ENSG00000011021	Ensembl Gene ID	1185	
ENSG00000011028	Ensembl Gene ID	9902	
ENSG00000011052	Ensembl Gene ID	654364	
ENSG00000011083	Ensembl Gene ID	6534	
ENSG00000011105	Ensembl Gene ID	10867	
ENSG00000011114	Ensembl Gene ID	55727	
ENSG00000011132	Ensembl Gene ID	9546	
ENSG00000011143	Ensembl Gene ID	54903	
ENSG00000011198	Ensembl Gene ID	51099	
ENSG00000011201	Ensembl Gene ID	3730	
ENSG00000011243	Ensembl Gene ID	26993	
ENSG00000011258	Ensembl Gene ID	54799	
ENSG00000011260	Ensembl Gene ID	51096	
ENSG00000011275	Ensembl Gene ID	54476	
ENSG00000011295	Ensembl Gene ID	54902	
ENSG00000011304	Ensembl Gene ID	5725	
ENSG00000011332	Ensembl Gene ID	8193	
ENSG00000011347	Ensembl Gene ID	9066	
ENSG00000011376	Ensembl Gene ID	23395	
