"V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,8,0,0.86896,0.66205,0.8274,30,32
"2",1,12,0.68602,0.88397,0.60299,0.88906,30,3
"3",1,13,0,0,0.8156,0.6999,30,32
"4",1,15,0.87963,0.91193,0.93147,0.51293,30,19
"5",1,16,0.52158,0,0.57756,0,30,15
"6",1,21,0.95468,0.88581,0.64316,0.86454,30,29
"7",1,28,0.70923,0.80253,0.79286,0.80075,30,23
"8",1,432,0.57278,0.91232,0.91415,0.95659,30,26
"9",1,517,0.76943,0.61901,0.63904,0.86499,30,16
"10",1,1039,0.75687,0.8488,0.80193,0.82569,30,22
"11",1,1086,0.75621,0.86422,0.86104,0.65766,30,1
"12",1,1215,0.82785,0.95241,0.96281,0.94305,30,8
"13",1,1389,0.84095,0.85148,0.94371,0.69932,30,32
"14",1,1404,0.69915,0.88031,0.77417,0.71617,30,15
"15",1,1519,0.83576,0.86435,0.76683,0.86887,30,19
"16",1,1530,0.89657,0.92244,0.78092,0.96571,30,19
"17",1,1568,0.88603,0.7872,0.76897,0.87967,30,6
"18",1,1681,0.50937,0.58269,0.67411,0.74176,30,29
"19",1,1777,0.98852,0.96882,0.98338,0.97467,30,6
"20",1,1929,0.90654,0.68504,0.68813,0.80899,30,22
"21",2,4,0.96593,0.96158,0.97923,0.98172,25,32
"22",2,6,0.90333,0.57023,0.93839,0.83631,25,32
"23",2,9,0.9787,0.75004,0.80523,0.9385,25,4
"24",2,12,0.67075,0.82397,0.74135,0.97795,25,3
"25",2,13,0.92483,0.89607,0.93512,0.70115,25,32
"26",2,16,0.7017,0.71436,0.74423,0.92082,25,15
"27",2,18,0.83508,0.67839,0.86074,0.84784,25,16
"28",2,21,0.7031,0.98956,0.88582,0.94576,25,29
"29",2,26,0.62461,0.92609,0.92932,0.6901,25,25
"30",2,97,0.85027,0.6621,0.57936,0.92256,25,11
"31",2,210,0.84812,0.89821,0.77104,0.89025,25,31
"32",2,318,0.95971,0.89571,0.93751,0.8749,25,8
"33",2,518,0,0,0.87599,0.64188,25,7
"34",2,875,0.90725,0.92089,0.91433,0.85339,25,12
"35",2,1372,0,0.77731,0,0.72151,25,22
"36",2,1742,0.61452,0.88777,0.89619,0.68022,25,7
"37",2,1761,0.89973,0.87414,0.93032,0.717,25,28
"38",2,1866,0.7364,0.86923,0.94007,0.94126,25,13
"39",2,1967,0.88137,0.95821,0.83303,0.94018,25,19
"40",3,5,0.76903,0.51517,0,0.88046,31,22
"41",3,6,0.73842,0.63336,0.77091,0.67634,31,32
"42",3,8,0.72893,0.90901,0.71531,0.8431,31,32
"43",3,11,0.89661,0,0.93727,0.7588,31,1
"44",3,13,0.92152,0.93088,0.78226,0.78049,31,32
"45",3,20,0.57091,0,0.86151,0.94182,31,12
"46",3,21,0.62077,0.85071,0.67188,0.60063,31,29
"47",3,22,0,0.74036,0,0.73903,31,23
"48",3,26,0.67197,0.75135,0.6852,0.85466,31,25
"49",3,74,0.9516,0.72513,0.64672,0.91178,31,29
"50",3,129,0.57337,0.77617,0,0.7642,31,7
"51",3,215,0.93355,0.85489,0.90446,0.93484,31,27
"52",3,242,0.73433,0,0,0.60744,31,6
"53",3,306,0.61508,0,0,0,31,31
"54",3,315,0.9507,0.88341,0.79108,0.81517,31,20
"55",3,351,0.7364,0.85958,0,0,31,19
"56",3,419,0.86958,0.91234,0.86498,0.88104,31,12
"57",3,483,0.66843,0.87334,0.64882,0.82288,31,26
"58",3,522,0.91926,0.9576,0.78876,0.63904,31,32
"59",3,642,0.81252,0.83815,0.87412,0.85308,31,3
"60",3,729,0.8177,0.8144,0.89871,0.94216,31,26
"61",3,951,0.96774,0.95995,0.9611,0.93779,31,23
"62",3,1094,0.95078,0.72334,0.96861,0.94265,31,27
"63",3,1269,0.85277,0.95963,0.92217,0.98531,31,5
"64",3,1709,0.83026,0.93971,0.84058,0.86104,31,18
"65",3,1792,0.64836,0.85998,0.88721,0.86441,31,8
"66",3,1854,0.82619,0.87376,0.81632,0.76405,31,17
"67",4,5,0.65784,0.72955,0.88388,0.86143,32,22
"68",4,9,0,0.68452,0.75703,0.74911,32,4
"69",4,13,0.80874,0,0.76677,0.64675,32,32
