V2,V3,V4,V5,V6,V7,V8,
1,8,0.018030111,0.876725454,0.662041826,0.827661714,1,1
1,12,0.675718864,0.882929723,0.603593325,0.892477336,1,1
1,13,-0.008242319,-0.002291434,0.814962285,0.687670311,1,1
1,15,0.863762631,0.903693137,0.928068403,0.515310628,1,1
1,16,0.519760718,-0.009952388,0.581672807,-0.001326833,1,1
1,21,0.96062712,0.903483274,0.641452434,0.878323242,1,1
1,28,0.722220743,0.800309846,0.806345181,0.78995432,1,1
1,432,0.580589399,0.911367441,0.905662239,0.959860631,1,11
1,517,0.775196033,0.607009089,0.641033619,0.851346059,1,13
1,1039,0.751316987,0.85283315,0.815067478,0.829832729,1,21
1,1086,0.762858794,0.866340563,0.857914019,0.653598426,1,22
1,1215,0.820899171,0.939348562,0.948227422,0.952409039,1,24
1,1389,0.837097927,0.838455977,0.938234569,0.709933206,1,26
1,1404,0.712471193,0.882203171,0.784401119,0.730398773,1,26
1,1519,0.830210706,0.848791844,0.769572605,0.882974903,1,28
1,1530,0.904852663,0.926185837,0.780765782,0.968614803,1,28
1,1568,0.903643265,0.797630831,0.781884996,0.865377865,1,28
1,1681,0.515420381,0.576253941,0.668017242,0.737485143,1,30
1,1777,0.975421508,0.985205317,0.987563563,0.968886772,1,30
1,1929,0.889613678,0.691845294,0.695382155,0.794438931,1,32
2,4,0.966019409,0.97378419,0.980196124,0.965416415,1,1
2,6,0.909845582,0.573430055,0.936606117,0.850583325,1,1
2,9,0.970332529,0.738845432,0.810788752,0.945352712,1,1
2,12,0.672862226,0.816299037,0.734835419,0.989351262,1,1
2,13,0.908645569,0.894256586,0.919999724,0.707316841,1,1
2,16,0.69890474,0.728423351,0.741779335,0.935522707,1,1
2,18,0.843316234,0.687986886,0.868820118,0.860155002,1,1
2,21,0.698887591,0.986549833,0.872898159,0.952038518,1,1
2,26,0.613832623,0.940324574,0.920750779,0.702454768,1,1
2,97,0.845647705,0.66392169,0.573835443,0.927520932,1,4
2,210,0.83126408,0.894201063,0.772178455,0.874147535,1,7
2,318,0.961466216,0.91099348,0.954236965,0.870830261,1,9
2,518,0.012061287,0.016781541,0.858804185,0.636000009,1,13
2,875,0.924593074,0.915553076,0.9010257,0.861064731,1,19
2,1372,0.01900288,0.774171149,-0.014385809,0.727560903,1,26
2,1742,0.610384917,0.874880103,0.908215754,0.681578161,1,30
2,1761,0.887009157,0.863046211,0.941187128,0.71598463,1,30
2,1866,0.722873874,0.883404076,0.932819877,0.937968209,1,31
2,1967,0.8736075,0.961421179,0.849550584,0.953619942,1,32
3,5,0.776666423,0.521504501,0.019907945,0.897087394,1,1
3,6,0.740382076,0.640353161,0.785415542,0.676685879,1,1
3,8,0.724404078,0.899486582,0.718513099,0.854687812,1,1
3,11,0.902635789,0.019919914,0.926269753,0.74722529,1,1
3,13,0.913587686,0.926046872,0.77545388,0.76514117,1,1
3,20,0.567796775,0.007297859,0.861853477,0.930888187,1,1
3,21,0.614389838,0.861511171,0.672727256,0.599416496,1,1
3,22,-0.006279882,0.741903398,-0.012068683,0.742659735,1,1
3,26,0.668500878,0.741355116,0.691405654,0.86421056,1,1
3,74,0.956429522,0.724388312,0.658743477,0.915478489,1,3
3,129,0.573595537,0.777321366,-0.001114008,0.778728262,1,5
3,215,0.928023964,0.867801716,0.913238407,0.953244068,1,7
3,242,0.719834093,-0.016460739,0.00789759,0.61511218,1,7
3,306,0.624722467,0.010801485,0.009551946,-0.006827394,1,9
3,315,0.941083758,0.89084816,0.800921666,0.828100164,1,9
3,351,0.738767504,0.859125174,0.000160802,-0.019926351,1,10
3,419,0.86879237,0.899331807,0.859900192,0.888731643,1,11
3,483,0.669866804,0.858270093,0.659310917,0.822418546,1,12
3,522,0.927860467,0.954975973,0.786618765,0.635421986,1,13
3,642,0.801064057,0.846894154,0.883268749,0.841501054,1,15
3,729,0.806006941,0.819950332,0.896920953,0.928960422,1,17
3,951,0.956770451,0.953382877,0.950958996,0.943147699,1,20
3,1094,0.95745179,0.735165057,0.973719552,0.944980897,1,22
3,1269,0.860325979,0.951013829,0.904951831,0.990387338,1,25
3,1709,0.839578281,0.936335195,0.827413057,0.850795793,1,30
3,1792,0.65725459,0.848731334,0.893149475,0.874926258,1,31
3,1854,0.829334717,0.872760736,0.816369133,0.755083259,1,31
4,5,0.659814892,0.725391514,0.871227764,0.846815957,1,1
4,9,-0.004313938,0.693830213,0.761733609,0.744929764,1,1
4,13,0.82085435,0.008570303,0.777562801,0.639756208,1,1
4,17,0.005227982,0.012778461,0.012549478,-0.019358357,1,1
4,18,0.800931178,0.00724433,0.818661116,0.721404727,1,1
4,21,0.970660531,0.944128187,0.874579024,0.927766373,1,1
4,22,0.93483592,0.885584545,0.883986035,0.838220612,1,1
4,27,0.873636222,0.818174567,0.843715959,0.945519261,1,1
4,278,0.665142749,0.011841962,0.912864871,0.550164575,1,8
4,1043,0.82498632,0.51958083,0.748037603,0.694302517,1,22
4,1538,0.8212384,0.842345238,-0.015076859,0.737500663,1,28
4,1663,0.603170968,0.770210873,0.911967845,0.835955294,1,29
4,1669,0.802273876,0.837659245,0.854563799,0.711212343,1,29
4,1827,0.824285239,0.948888449,0.903187043,0.717888087,1,31
4,1902,0.665194717,0.825357272,0.789601687,0.617603461,1,32
5,6,0.66661126,-0.008333002,0.545132976,0.573804327,1,1
5,8,0.732639574,0.659687507,0.526562088,0.562059239,1,1
5,9,0.898970232,0.935396298,0.93111062,0.820850844,1,1
5,13,0.690319416,0.666170779,0.536020286,0.672703392,1,1
5,14,0.665532739,0.93918544,0.811333138,0.91205009,1,1
5,15,0.952383747,0.965705725,0.937039674,0.975443767,1,1
5,17,0.860778474,0.758059272,0.628325532,0.76096663,1,1
5,20,0.830966568,0.759132323,0.875149177,0.873403481,1,1
5,21,0.895474175,0.929040198,0.961362143,0.883691634,1,1
5,22,0.86099603,0.970742971,0.93422186,0.879772947,1,1
5,23,0.745810803,0.891872886,0.782173807,0.611754274,1,1
5,28,0.629263881,0.888158651,0.817141913,0.600922011,1,1
