COEX,,,
Version 1,,,
Gene Pair,Gene A,Gene B,Score
1,1,2,0.935654535
2,1,3,0.880677598
3,1,5,0.862124858
4,1,6,0.997342475
5,1,7,0.712754816
6,1,8,0.533138926
7,1,9,0.883859004
8,1,13,0.562473862
9,1,14,0.963230019
10,1,16,0.888878009
11,1,22,0.775604749
12,1,39,0.659067813
13,2,3,0.953406178
14,2,4,0.727765956
15,2,5,0
16,2,7,0.784910883
17,2,9,0.634560017
18,2,10,0.904710039
19,2,12,0.853097809
20,2,13,0.74288942
21,2,15,0.93980959
22,2,16,0.82108049
23,2,17,0.836146743
24,2,25,0.6379612
25,2,34,0.596602082
26,2,46,0.951060842
27,2,69,0.930276052
28,2,72,0.955702945
29,2,90,0.931575967
30,3,4,0
31,3,5,0.953440236
32,3,6,0.62029252
33,3,7,0.777245496
34,3,8,0
35,3,9,0.595402683
36,3,12,0.899437476
37,3,15,0
38,3,16,0
39,3,17,0.952367265
40,3,43,0.92106581
41,3,75,0
42,3,93,0.798657084
43,4,5,0.963035046
44,4,6,0.668055145
45,4,7,0.925457969
46,4,8,0.738525494
47,4,9,0.807475778
48,4,10,0.932014184
49,4,11,0.603583029
50,4,12,0.804072174
51,4,13,0.953108297
52,4,14,0.688292526
53,4,15,0.561817269
54,4,16,0.914649633
55,4,17,0.91907335
56,4,50,0.787127759
57,4,72,0.581194859
58,4,76,0.925967044
59,5,6,0.959566581
60,5,7,0.561163159
61,5,8,0.629067219
62,5,9,0.912818582
63,5,11,0.586448236
64,5,12,0.899896102
65,5,13,0.896843139
66,5,14,0.949794369
67,5,15,0.97625303
68,5,16,0.814919219
69,5,17,0.898085848
70,5,27,0
71,5,78,0.656251941
72,6,9,0.665003644
73,6,10,0.859752179
74,6,12,0.957259317
75,6,13,0.571884336
76,6,14,0.775693637
77,6,15,0.694683007
78,6,17,0.87031968
79,6,45,0.506455911
80,6,59,0
81,6,81,0.967357661
82,6,90,0.915335522
83,7,8,0.937649852
84,7,10,0.768152781
85,7,11,0
86,7,12,0.794567083
87,7,14,0.67184558
88,7,15,0.840949535
89,7,16,0.743517956
90,7,17,0.897147582
91,7,27,0.777596323
92,7,46,0.608839421
93,7,56,0.829935135
94,7,61,0.675820847
95,8,9,0.708255951
96,8,10,0.566778959
97,8,13,0.684472353
98,8,15,0.71953376
99,8,16,0.804591623
100,8,17,0.653842324
101,8,33,0.957126072
102,8,39,0.902732477
103,8,52,0.933965814
104,8,56,0
105,8,74,0.815907758
106,8,96,0.975276789
107,9,10,0.895524399
108,9,11,0
109,9,12,0.938174119
110,9,13,0.529648054
111,9,14,0.614098776
112,9,16,0.533128353
113,9,17,0.553126609
114,9,39,0.52575612
115,9,45,0.97599262
116,9,72,0.921326182
117,9,82,0.950706714
118,10,11,0
119,10,12,0.893509103
120,10,14,0.682340332
121,10,15,0.672931524
122,10,17,0.988012632
123,10,25,0.930260252
124,10,52,0.598949216
125,10,64,0.6696069
126,10,73,0.882954338
127,10,75,0.877415844
128,10,94,0.950775648
129,11,12,0.735184731
130,11,13,0
131,11,14,0
132,11,15,0.865404794
133,11,16,0.754882137
134,11,17,0.75421013
135,11,27,0
136,11,47,0.722448091
137,11,56,0.777219316
138,12,13,0.510021125
139,12,14,0.714018749
140,12,15,0.963598061
141,12,17,0
142,12,21,0.821607793
143,12,22,0.928068192
144,12,26,0.856946045
145,12,34,0.779570739
146,12,42,0.820506484
147,12,56,0.876299556
148,12,66,0
149,13,14,0.808267937
150,13,15,0.890172745
151,13,16,0.656192433
152,13,17,0.911106914
153,13,32,0
154,13,40,0.776435356
155,13,96,0.963991812
156,14,15,0.679471163
157,14,16,0.94077708
158,14,17,0.801830469
159,14,48,0.795464979
160,14,97,0.847784066
161,15,16,0.870002865
162,15,17,0.837234316
163,15,59,0.763191642
164,15,79,0.690759778
165,16,36,0.95076567
166,16,49,0.892097745
167,16,50,0.684289139
168,17,30,0.874929569
169,17,56,0.892602589
170,17,97,0.948320713
171,17,100,0.979361255
172,18,19,0.733086933
173,18,20,0.830787875
174,18,21,0.774529982
175,18,22,0.704923183
176,18,23,0.876320311
177,18,24,0.77544799
178,18,25,0.906164625
179,18,26,0.78963214
180,18,27,0.908701056
181,18,28,0.816913262
182,18,29,0
183,18,30,0.771420539
184,18,31,0.869373407
185,18,32,0.523739195
186,18,33,0.779826275
187,18,34,0.786483069
188,18,35,0.968453932
189,18,36,0.930455755
190,18,38,0.985001819
191,18,51,0.902841232
192,19,21,0.886701573
193,19,22,0
194,19,23,0
195,19,24,0.789270476
196,19,25,0.746852154
197,19,26,0.754582344
198,19,29,0.598078083
199,19,30,0
200,19,31,0.698376379
201,19,32,0.716474627
202,19,33,0.86465761
203,19,34,0.777253424
204,19,35,0.599307656
205,19,36,0.841294362
206,20,21,0.552271615
207,20,22,0.658793866
208,20,23,0
209,20,24,0.939876208
210,20,25,0.811108582
211,20,27,0
212,20,28,0.891574367
213,20,29,0.69412431
214,20,30,0.887856132
215,20,31,0.835416204
216,20,33,0.85152147
217,20,34,0.68542615
218,20,35,0.743206306
219,20,36,0.916805217
220,20,46,0.934123965
221,20,48,0.966829954
222,21,22,0.925391456
223,21,23,0.642694158
224,21,24,0
225,21,25,0.697853287
226,21,26,0.637045369
227,21,27,0.795079987
228,21,28,0.839492736
229,21,30,0.977319537
230,21,32,0.968719445
231,21,34,0.908629674
232,21,36,0.865628051
233,21,92,0.776847514
234,21,97,0.802340204
235,22,23,0.811226196
236,22,24,0.970005879
237,22,25,0.879456187
238,22,26,0.836768182
239,22,27,0.880018347
240,22,28,0.860182481
241,22,29,0.918147215
242,22,30,0.962590466
243,22,31,0.864596372
244,22,32,0.927891684
245,22,33,0.949457368
246,22,36,0
247,22,38,0.528047519
248,22,48,0.872562261
249,23,26,0.614404372
250,23,27,0.935939918
251,23,28,0.874155819
252,23,29,0.603191191
253,23,30,0.900557236
254,23,33,0.904660903
255,23,34,0.552385082
256,23,35,0.890188526
257,23,36,0
258,23,73,0.756050215
259,24,25,0.771106416
260,24,26,0.590090802
261,24,27,0.764991434
262,24,33,0.608525916
263,24,34,0.691736253
264,24,35,0.930121582
265,24,36,0.751222308
266,24,65,0.776578863
267,25,26,0
268,25,27,0.908219202
269,25,28,0.518234643
270,25,29,0.962073601
271,25,30,0.751358118
272,25,31,0
273,25,34,0.641352362
274,25,36,0.682379677
275,25,66,0.883202919
276,26,27,0.750152529
277,26,28,0
278,26,29,0.900281816
279,26,30,0.920018765
280,26,31,0.988246055
281,26,32,0.599224472
282,26,36,0.74398403
283,26,61,0.577737402
284,27,28,0
285,27,30,0.823967531
286,27,32,0.657160379
287,27,33,0.910326769
288,27,34,0.941936117
289,27,35,0.87089338
290,27,36,0.925430227
291,27,77,0.578178882
292,27,94,0.890791459
293,28,29,0.805283608
294,28,30,0.722522127
295,28,31,0.939440906
296,28,32,0.934804716
297,28,33,0.673107131
298,28,34,0.809931294
299,28,35,0.911068828
300,28,36,0.846255381
301,28,38,0.586513689
302,28,62,0.856329193
303,28,85,0.694802398
304,29,30,0.823678966
305,29,31,0.546776373
306,29,33,0
307,29,34,0.741569011
308,29,35,0.955354553
309,29,36,0.93483914
