GOSEM,,,
Version 1,,,
Gene Pair,Gene A,Gene B,Score
1,1,2,0.859923495
2,1,3,0.561210534
3,1,5,0.692479401
4,1,6,0.990164825
5,1,7,0.801680404
6,1,8,0
7,1,9,0.887998753
8,1,13,0.720071196
9,1,14,0.894732522
10,1,16,0.720742941
11,1,22,0.518447981
12,1,39,0.681900446
13,2,3,0.931610661
14,2,4,0.953386617
15,2,5,0
16,2,7,0.873267136
17,2,9,0.741371056
18,2,10,0.911843017
19,2,12,0.952806513
20,2,13,0.784258572
21,2,15,0.939201616
22,2,16,0.835505101
23,2,17,0.951660019
24,2,25,0.616036645
25,2,34,0.816230736
26,2,46,0.946436372
27,2,69,0.889226891
28,2,72,0.945558297
29,2,90,0.942671726
30,3,4,0.843257163
31,3,5,0.947456024
32,3,6,0
33,3,7,0.951686106
34,3,8,0
35,3,9,0.694348661
36,3,12,0.963651296
37,3,15,0.559995735
38,3,16,0.673277891
39,3,17,0.865053442
40,3,43,0.626667631
41,3,75,0
42,3,93,0.580234216
43,4,5,0.980178094
44,4,6,0.718314107
45,4,7,0.969900521
46,4,8,0.738524996
47,4,9,0.762639171
48,4,10,0.942362948
49,4,11,0.707176784
50,4,12,0
51,4,13,0.883461186
52,4,14,0.899334253
53,4,15,0.924920502
54,4,16,0.790971607
55,4,17,0.831202724
56,4,50,0.677067806
57,4,72,0.587945721
58,4,76,0.715959112
59,5,6,0.804949821
60,5,7,0
61,5,8,0.800232751
62,5,9,0.945215494
63,5,11,0
64,5,12,0.618044494
65,5,13,0.841607254
66,5,14,0.802632977
67,5,15,0.884737103
68,5,16,0.540384628
69,5,17,0.920341316
70,5,27,0
71,5,78,0
72,6,9,0.768414725
73,6,10,0.96674635
74,6,12,0.789951725
75,6,13,0.690248195
76,6,14,0.74508118
77,6,15,0.81880312
78,6,17,0
79,6,45,0.688270208
80,6,59,0.572551474
81,6,81,0.926140922
82,6,90,0.939049499
83,7,8,0.946400873
84,7,10,0.806450315
85,7,11,0.859270824
86,7,12,0.65392622
87,7,14,0
88,7,15,0.936084766
89,7,16,0.873134725
90,7,17,0.899580669
91,7,27,0.860110165
92,7,46,0.858869932
93,7,56,0.898016291
94,7,61,0.909191398
95,8,9,0
96,8,10,0.930132811
97,8,13,0.773543443
98,8,15,0.892823736
99,8,16,0.984835276
100,8,17,0.94393964
101,8,33,0.843377766
102,8,39,0.922047731
103,8,52,0.929624616
104,8,56,0.729160133
105,8,74,0
106,8,96,0.855041967
107,9,10,0.755412738
108,9,11,0.580000413
109,9,12,0.894604307
110,9,13,0
111,9,14,0.879868889
112,9,16,0.51347813
113,9,17,0.756585148
114,9,39,0.719150176
115,9,45,0.968744099
116,9,72,0.933251687
117,9,82,0.943662156
118,10,11,0
119,10,12,0.610945176
120,10,14,0.576267244
121,10,15,0.714145076
122,10,17,0.962444975
123,10,25,0.725659792
124,10,52,0.765356787
125,10,64,0.879229312
126,10,73,0
127,10,75,0.774611668
128,10,94,0.961147511
129,11,12,0.632856068
130,11,13,0.812968605
131,11,14,0
132,11,15,0.868651631
133,11,16,0.693680195
134,11,17,0.909748749
135,11,27,0
136,11,47,0.914333954
137,11,56,0.819480423
138,12,13,0.747865846
139,12,14,0.624972826
140,12,15,0.901693933
141,12,17,0.803044991
142,12,21,0.948745793
143,12,22,0.948467024
144,12,26,0.914183527
145,12,34,0.678677112
146,12,42,0.697998018
147,12,56,0.89806596
148,12,66,0.592874149
149,13,14,0.759755845
150,13,15,0.902024441
151,13,16,0.826978998
152,13,17,0.921623742
153,13,32,0.815305898
154,13,40,0.686071343
155,13,96,0.983597725
156,14,15,0.909574309
157,14,16,0.920255618
158,14,17,0.725341112
159,14,48,0.915868589
160,14,97,0.594729906
161,15,16,0.628192652
162,15,17,0.787673553
163,15,59,0.829126753
164,15,79,0.72702316
165,16,36,0.885892924
166,16,49,0.763691905
167,16,50,0
168,17,30,0.927162031
169,17,56,0.917861494
170,17,97,0.927417408
171,17,100,0.973198174
172,18,19,0
173,18,20,0.875129752
174,18,21,0.702954909
175,18,22,0.845165092
176,18,23,0.802200557
177,18,24,0.950119251
178,18,25,0.982757394
179,18,26,0.666607827
180,18,27,0.578285633
181,18,28,0.941852214
182,18,29,0.713196609
183,18,30,0.880602166
184,18,31,0.615524099
185,18,32,0.94607477
186,18,33,0.88904864
187,18,34,0.882938655
188,18,35,0.900810505
189,18,36,0.89480318
190,18,38,0.967083889
191,18,51,0.790313491
192,19,21,0.945528258
193,19,22,0.501246606
194,19,23,0.560740004
195,19,24,0.895029141
196,19,25,0.916809866
197,19,26,0.753145466
198,19,29,0
199,19,30,0.59625834
200,19,31,0.651111641
201,19,32,0.838739098
202,19,33,0.678956882
203,19,34,0.590501222
204,19,35,0.699562665
205,19,36,0.856940061
206,20,21,0
207,20,22,0.702977331
208,20,23,0.859129227
209,20,24,0.979995065
210,20,25,0.971888886
211,20,27,0.813998718
212,20,28,0.825764714
213,20,29,0.837955361
214,20,30,0.987204926
215,20,31,0.821332606
216,20,33,0.744825066
217,20,34,0.768259288
218,20,35,0.901802958
219,20,36,0.923723964
220,20,46,0.76794496
221,20,48,0.958583702
222,21,22,0.977086957
223,21,23,0.579584299
224,21,24,0.816746691
225,21,25,0.769393253
226,21,26,0.725750398
227,21,27,0.926375871
228,21,28,0.96964868
229,21,30,0.885251265
230,21,32,0.785294925
231,21,34,0.872709096
232,21,36,0.925180148
233,21,92,0.808359558
234,21,97,0.616305965
235,22,23,0.500225631
236,22,24,0.930674529
237,22,25,0.673397246
238,22,26,0.675613066
239,22,27,0.955596018
240,22,28,0.899763611
241,22,29,0.960307596
242,22,30,0.948786887
243,22,31,0.937098252
244,22,32,0.914578829
245,22,33,0.870413316
246,22,36,0.637292086
247,22,38,0.803074429
248,22,48,0.910904331
249,23,26,0.523816793
250,23,27,0.960236553
251,23,28,0.905962656
252,23,29,0
253,23,30,0.977172589
254,23,33,0
255,23,34,0.865483393
256,23,35,0.515896524
257,23,36,0.509588169
258,23,73,0.725947668
259,24,25,0.757027118
260,24,26,0.86621157
261,24,27,0.69462741
262,24,33,0.624108714
263,24,34,0.957664374
264,24,35,0.958406154
265,24,36,0
266,24,65,0
267,25,26,0
268,25,27,0.750045635
269,25,28,0
270,25,29,0.912658836
271,25,30,0.639939017
272,25,31,0.766207395
273,25,34,0
274,25,36,0.738930113
275,25,66,0.646622943
276,26,27,0
277,26,28,0
278,26,29,0.851236384
279,26,30,0.966645483
280,26,31,0.91539365
281,26,32,0.84547418
282,26,36,0.924279387
283,26,61,0.779472502
284,27,28,0
285,27,30,0.85447437
286,27,32,0.668710428
287,27,33,0.908471923
288,27,34,0.854936888
289,27,35,0.977782629
290,27,36,0.966696498
291,27,77,0.919210484
292,27,94,0.646126151
293,28,29,0.601325763
294,28,30,0.888977919
295,28,31,0.962394544
296,28,32,0.971896353
297,28,33,0.818090588
298,28,34,0.936590382
299,28,35,0.990347631
300,28,36,0.730850993
301,28,38,0.710881721
302,28,62,0.863157928
303,28,85,0.881959515
304,29,30,0.688917758
305,29,31,0.876903182
306,29,33,0.692907864
307,29,34,0.665930307
308,29,35,0.910268518
309,29,36,0.96011562
310,29,38,0.846204307
311,29,49,0.757455415
312,29,50,0.696876764
313,29,59,0.750908409
314,29,83,0.818196567
315,30,31,0.875478186
316,30,35,0.763714131
317,30,36,0.852306325
318,30,50,0.814410863
319,30,65,0.805553889
320,31,32,0.757841366
321,31,33,0.883126301
322,31,34,0.914700014
323,31,35,0.814791296
324,31,36,0.840936051
325,31,41,0.508293807
326,31,66,0.725244829
327,31,67,0.886077939
328,31,87,0.742843544
329,31,89,0.898066094
330,32,33,0.99189032
331,32,34,0.880912347
332,32,35,0.807443495
333,32,36,0.88728399
334,32,89,0.965844284
335,33,34,0
336,33,35,0.721746608
337,33,36,0
338,33,82,0.637686034
339,34,35,0.697495687
340,34,36,0.914386247
341,34,98,0.968911311
342,35,48,0.512714578
343,35,89,0.863653486
344,35,94,0.674965314
345,36,40,0.830109772
346,36,48,0
347,36,55,0.833471145
348,36,63,0.790927811
349,36,91,0.87618923
350,37,38,0.940291427
351,37,39,0.500231939
352,37,40,0.932473577
353,37,41,0.981047749
354,37,42,0
355,37,45,0.745600852
356,37,46,0.855527147
357,37,47,0.869065162
358,37,48,0.712944333
359,37,49,0.807716673
360,37,50,0.603485672
361,37,51,0.964474927
362,37,52,0.967113295
363,37,53,0.693042629
364,37,54,0
365,37,55,0.769851771
366,37,65,0.976557142
367,37,90,0
368,38,39,0.570247047
369,38,40,0.786722792
370,38,41,0.950534078
371,38,42,0
372,38,43,0.97179778
373,38,45,0.631616647
374,38,46,0
375,38,47,0.962772405
376,38,48,0.662612805
377,38,49,0.841299909
378,38,50,0.831941868
379,38,51,0.756567347
380,38,52,0.710694639
