INTERACT,,,
Version 1,,,
Gene Pair,Gene A,Gene B,Score
1,1,2,0.898675191
2,1,3,0.732814158
3,1,5,0.907292577
4,1,6,0.961931146
5,1,7,0.861582359
6,1,8,0.506438164
7,1,9,0.862736282
8,1,13,0.817404798
9,1,14,0.826223626
10,1,16,0.918719465
11,1,22,0.64658745
12,1,39,0
13,2,3,0.873894271
14,2,4,0.624577967
15,2,5,0.72535518
16,2,7,0.848425139
17,2,9,0.524547066
18,2,10,0.79218702
19,2,12,0.509290048
20,2,13,0.718539321
21,2,15,0.783826565
22,2,16,0.769892636
23,2,17,0.770974404
24,2,25,0.791882277
25,2,34,0.656227157
26,2,46,0.820219939
27,2,69,0.772137642
28,2,72,0.974148222
29,2,90,0.979312902
30,3,4,0.727628426
31,3,5,0.929541902
32,3,6,0.748550632
33,3,7,0.774110984
34,3,8,0.751799309
35,3,9,0
36,3,12,0.754431667
37,3,15,0
38,3,16,0.703996408
39,3,17,0.850540953
40,3,43,0.877293963
41,3,75,0.581995271
42,3,93,0
43,4,5,0.951909186
44,4,6,0.812877661
45,4,7,0.873366059
46,4,8,0.845507266
47,4,9,0.567734387
48,4,10,0.985916657
49,4,11,0.81171094
50,4,12,0.829408982
51,4,13,0.979099019
52,4,14,0.936206689
53,4,15,0.737709143
54,4,16,0.812852612
55,4,17,0.595015259
56,4,50,0.954552959
57,4,72,0.883977184
58,4,76,0.95123905
59,5,6,0.892636
60,5,7,0.827471207
61,5,8,0.926857329
62,5,9,0.790300879
63,5,11,0.741374183
64,5,12,0.567066103
65,5,13,0.871071148
66,5,14,0.883243646
67,5,15,0.971107118
68,5,16,0.753686474
69,5,17,0.972704291
70,5,27,0.764627552
71,5,78,0
72,6,9,0.732658172
73,6,10,0.816629365
74,6,12,0.898569322
75,6,13,0.857227879
76,6,14,0.872749195
77,6,15,0.816925607
78,6,17,0.648901533
79,6,45,0.829955825
80,6,59,0
81,6,81,0.972941186
82,6,90,0.972039648
83,7,8,0.734011
84,7,10,0.962330465
85,7,11,0.637957337
86,7,12,0.560862003
87,7,14,0.738000899
88,7,15,0.891324903
89,7,16,0.883412363
90,7,17,0.873513959
91,7,27,0.697165356
92,7,46,0.506430821
93,7,56,0.691489555
94,7,61,0
95,8,9,0
96,8,10,0.86049124
97,8,13,0.768107676
98,8,15,0.928282019
99,8,16,0.519987045
100,8,17,0.718744642
101,8,33,0.827193049
102,8,39,0.925530255
103,8,52,0.849317293
104,8,56,0
105,8,74,0.6359457
106,8,96,0.709118014
107,9,10,0.802748032
108,9,11,0.797321114
109,9,12,0.757563147
110,9,13,0.860770911
111,9,14,0.556326333
112,9,16,0.945300324
113,9,17,0.610317053
114,9,39,0
115,9,45,0.907703665
116,9,72,0.671477357
117,9,82,0.785988117
118,10,11,0.892170439
119,10,12,0.723654396
120,10,14,0
121,10,15,0.853365849
122,10,17,0.959401497
123,10,25,0.721698121
124,10,52,0.891512
125,10,64,0.864823039
126,10,73,0.657642523
127,10,75,0.824228204
128,10,94,0.955241164
129,11,12,0.554489336
130,11,13,0.791417403
131,11,14,0.839870745
132,11,15,0.767813936
133,11,16,0.680843074
134,11,17,0.902871743
135,11,27,0
136,11,47,0.801626574
137,11,56,0.868798343
138,12,13,0.545374849
139,12,14,0.803978071
140,12,15,0.98648695
141,12,17,0.808008033
142,12,21,0.979558217
143,12,22,0.92590526
144,12,26,0.890373832
145,12,34,0.740758753
146,12,42,0.548346833
147,12,56,0.842771532
148,12,66,0
149,13,14,0.630184743
150,13,15,0.718503083
151,13,16,0.767613761
152,13,17,0.809755353
153,13,32,0.589823291
154,13,40,0.687252374
155,13,96,0.915120494
156,14,15,0.925954323
157,14,16,0.611496888
158,14,17,0.90444682
159,14,48,0.790016628
160,14,97,0.849778505
161,15,16,0.914484579
162,15,17,0.79923589
163,15,59,0.959815859
164,15,79,0.873234254
165,16,36,0.879687397
166,16,49,0.846915512
167,16,50,0.68831623
168,17,30,0.96894797
169,17,56,0.96366103
170,17,97,0.679055652
171,17,100,0.918178156
172,18,19,0.600715212
173,18,20,0.813730925
174,18,21,0.942382698
175,18,22,0.926338455
176,18,23,0.609163859
177,18,24,0.801195896
178,18,25,0.949296442
179,18,26,0.954761582
180,18,27,0.922994071
181,18,28,0.782292965
182,18,29,0.732967826
183,18,30,0.86907291
184,18,31,0.878628926
185,18,32,0
186,18,33,0.902163151
187,18,34,0.762856743
188,18,35,0.963237341
189,18,36,0.834436464
190,18,38,0.95675033
191,18,51,0.691975478
192,19,21,0.874414072
193,19,22,0
194,19,23,0.729295518
195,19,24,0.927452665
196,19,25,0.699006308
197,19,26,0.823240724
198,19,29,0.654725312
199,19,30,0.81469623
200,19,31,0.924716043
201,19,32,0.644248863
202,19,33,0.813875248
203,19,34,0.854754637
204,19,35,0
205,19,36,0.972144535
206,20,21,0.641230868
207,20,22,0.609637021
208,20,23,0.832592068
209,20,24,0.985087316
210,20,25,0.778394628
211,20,27,0.947074316
212,20,28,0
213,20,29,0.883735401
214,20,30,0.904498715
215,20,31,0.945801304
216,20,33,0.788366633
217,20,34,0.814639235
218,20,35,0.946754274
219,20,36,0.812617529
220,20,46,0.910894678
221,20,48,0.891130353
222,21,22,0.841252881
223,21,23,0.837156776
224,21,24,0
225,21,25,0.782203894
226,21,26,0.908410449
227,21,27,0.814140234
228,21,28,0.981453413
229,21,30,0.957197501
230,21,32,0.947789091
231,21,34,0.901492733
232,21,36,0.816795309
233,21,92,0.788967076
234,21,97,0.95550141
235,22,23,0
236,22,24,0.862665187
237,22,25,0.822992499
238,22,26,0.664077372
239,22,27,0.682112852
240,22,28,0.854856515
241,22,29,0.931956825
242,22,30,0.796096771
243,22,31,0.901919143
244,22,32,0.828855276
245,22,33,0.690551116
246,22,36,0.55782767
247,22,38,0.730856572
248,22,48,0.590263105
249,23,26,0.613836407
250,23,27,0.930330811
251,23,28,0.822778154
252,23,29,0.652102011
253,23,30,0.929730987
254,23,33,0.816600012
255,23,34,0.79752893
256,23,35,0.863067088
257,23,36,0.634319362
258,23,73,0.863074772
259,24,25,0.918000902
260,24,26,0.840567198
261,24,27,0.938055102
262,24,33,0.550826375
263,24,34,0.785422751
264,24,35,0.8533225
265,24,36,0.678860062
266,24,65,0.874695494
267,25,26,0.539393845
268,25,27,0.879331407
269,25,28,0.689905173
270,25,29,0.959150841
271,25,30,0.813863195
272,25,31,0.767612206
273,25,34,0
274,25,36,0
275,25,66,0.705667451
276,26,27,0.613535637
277,26,28,0
278,26,29,0.717727804
279,26,30,0.985043095
280,26,31,0.946207759
281,26,32,0.778421633
282,26,36,0.517722015
283,26,61,0.94898671
284,27,28,0.560122469
285,27,30,0
286,27,32,0.919272304
287,27,33,0.861759659
288,27,34,0.800801097
