PATHNE,,,
Version 1,,,
Gene Pair,Gene A,Gene B,Score
1,1,2,0.808079378
2,1,3,0.773094436
3,1,5,0
4,1,6,0.947011463
5,1,7,0.698386975
6,1,8,0
7,1,9,0.698613723
8,1,13,0.734435543
9,1,14,0.885828721
10,1,16,0.71827265
11,1,22,0.579968391
12,1,39,0.770288966
13,2,3,0.836165649
14,2,4,0.853238986
15,2,5,0.749543885
16,2,7,0.885196641
17,2,9,0.820494324
18,2,10,0.788055206
19,2,12,0.60779175
20,2,13,0.672346032
21,2,15,0.930877098
22,2,16,0.73913606
23,2,17,0.828384168
24,2,25,0.90477157
25,2,34,0.875788603
26,2,46,0.727569295
27,2,69,0.946724225
28,2,72,0.991069694
29,2,90,0.924601734
30,3,4,0.747366725
31,3,5,0.882388192
32,3,6,0.815566373
33,3,7,0.848752972
34,3,8,0
35,3,9,0
36,3,12,0.931909139
37,3,15,0
38,3,16,0.533363647
39,3,17,0.82512778
40,3,43,0.786695031
41,3,75,0
42,3,93,0
43,4,5,0.972703384
44,4,6,0.821971384
45,4,7,0.920685139
46,4,8,0.936980439
47,4,9,0.85239287
48,4,10,0.892662439
49,4,11,0.687377193
50,4,12,0.806063443
51,4,13,0.748370574
52,4,14,0.820354251
53,4,15,0.935088824
54,4,16,0.852423821
55,4,17,0.759332186
56,4,50,0.752298731
57,4,72,0.872412283
58,4,76,0.81985893
59,5,6,0.819731009
60,5,7,0.664545784
61,5,8,0.941766353
62,5,9,0.811235371
63,5,11,0.773744109
64,5,12,0.884020763
65,5,13,0.893079168
66,5,14,0.938700779
67,5,15,0.904902528
68,5,16,0.75899117
69,5,17,0.942951612
70,5,27,0.630739053
71,5,78,0
72,6,9,0.508401605
73,6,10,0.966186762
74,6,12,0.92418237
75,6,13,0
76,6,14,0.840656635
77,6,15,0.741194622
78,6,17,0
79,6,45,0.64554088
80,6,59,0
81,6,81,0.893948679
82,6,90,0.951820093
83,7,8,0.975802778
84,7,10,0.81472331
85,7,11,0
86,7,12,0.870225488
87,7,14,0.809994887
88,7,15,0.775124863
89,7,16,0.883388531
90,7,17,0.918499269
91,7,27,0.790672515
92,7,46,0.732208601
93,7,56,0.953472557
94,7,61,0
95,8,9,0.570583867
96,8,10,0.938153261
97,8,13,0.660279895
98,8,15,0.779432302
99,8,16,0.7387327
100,8,17,0.745213232
101,8,33,0.570076655
102,8,39,0.959623703
103,8,52,0.809223878
104,8,56,0.572764927
105,8,74,0.556337859
106,8,96,0.896783157
107,9,10,0.825109024
108,9,11,0.727608562
109,9,12,0
110,9,13,0.840916159
111,9,14,0.596750963
112,9,16,0.786164505
113,9,17,0.595657871
114,9,39,0.560950056
115,9,45,0.991683408
116,9,72,0.621019418
117,9,82,0.880272266
118,10,11,0.727000025
119,10,12,0.791620466
120,10,14,0
121,10,15,0.641627851
122,10,17,0.947763663
123,10,25,0.956123469
124,10,52,0.645469157
125,10,64,0.860393093
126,10,73,0.881513191
127,10,75,0.740194324
128,10,94,0.920901269
129,11,12,0.891431556
130,11,13,0
131,11,14,0.544672084
132,11,15,0.624705513
133,11,16,0.882831302
134,11,17,0.94839001
135,11,27,0
136,11,47,0.937854497
137,11,56,0.848870846
138,12,13,0
139,12,14,0.89190577
140,12,15,0.954041647
141,12,17,0.835569035
142,12,21,0.96611036
143,12,22,0.895852728
144,12,26,0.925800627
145,12,34,0
146,12,42,0.760810311
147,12,56,0.904672164
148,12,66,0.748029841
149,13,14,0.911938513
150,13,15,0.800175303
151,13,16,0.78088007
152,13,17,0.781057372
153,13,32,0.869708181
154,13,40,0.824609439
155,13,96,0.955941742
156,14,15,0.887059585
157,14,16,0.933375489
158,14,17,0.749456939
159,14,48,0.807244723
160,14,97,0.656920625
161,15,16,0.938960147
162,15,17,0
163,15,59,0.979936372
164,15,79,0.598484465
165,16,36,0.951818905
166,16,49,0.829481814
167,16,50,0
168,17,30,0.903718868
169,17,56,0.863285188
170,17,97,0.785128251
171,17,100,0.965390231
172,18,19,0.529008196
173,18,20,0.827344066
174,18,21,0
175,18,22,0.700592599
176,18,23,0.6148664
177,18,24,0.524342095
178,18,25,0.956471664
179,18,26,0.798149399
180,18,27,0.964395404
181,18,28,0.87585128
182,18,29,0.760629811
183,18,30,0.936230053
184,18,31,0.751340774
185,18,32,0
186,18,33,0.669960842
187,18,34,0.900220876
188,18,35,0.909597466
189,18,36,0.778847841
190,18,38,0.96564719
191,18,51,0.872825887
192,19,21,0.891581864
193,19,22,0
194,19,23,0.541778064
195,19,24,0.931033223
196,19,25,0.813173099
197,19,26,0.709633119
198,19,29,0.853256256
199,19,30,0.641143581
200,19,31,0.702139359
201,19,32,0.872736887
202,19,33,0.888338401
203,19,34,0.751614767
204,19,35,0.754138961
205,19,36,0.538344299
206,20,21,0.69944603
207,20,22,0.784162509
208,20,23,0.748268745
209,20,24,0.947714223
210,20,25,0.829394049
211,20,27,0.680240134
212,20,28,0.620110877
213,20,29,0
214,20,30,0.974117867
215,20,31,0.899413337
216,20,33,0.868803344
217,20,34,0
218,20,35,0.876671483
219,20,36,0.802061091
220,20,46,0
221,20,48,0.975898031
222,21,22,0.917760065
223,21,23,0.860734194
224,21,24,0
225,21,25,0
226,21,26,0.770641667
227,21,27,0.803286487
228,21,28,0.977534746
229,21,30,0.954293382
230,21,32,0.795988821
231,21,34,0.800970414
232,21,36,0.879371195
233,21,92,0.64338171
234,21,97,0.785919883
235,22,23,0.642699754
236,22,24,0.900155521
237,22,25,0.900159899
238,22,26,0.900365635
239,22,27,0.910685232
240,22,28,0.868124125
241,22,29,0.911953808
242,22,30,0.866811684
243,22,31,0.859673589
244,22,32,0.788908114
245,22,33,0.782838032
246,22,36,0.685320039
247,22,38,0.578403565
248,22,48,0.739996274
249,23,26,0.507554711
250,23,27,0.890067906
251,23,28,0.940274301
252,23,29,0.536144943
253,23,30,0.893782743
254,23,33,0.906254622
255,23,34,0.809235256
256,23,35,0.867532853
257,23,36,0.843224967
258,23,73,0.833808989
259,24,25,0.825346829
260,24,26,0.789791974
261,24,27,0.766050903
262,24,33,0.660722365
263,24,34,0.965838027
264,24,35,0.650265798
265,24,36,0
266,24,65,0.567726385
267,25,26,0
268,25,27,0.76262915
269,25,28,0.626670157
270,25,29,0.889366726
271,25,30,0.790505656
272,25,31,0.693420769
273,25,34,0.659131632
274,25,36,0
275,25,66,0
276,26,27,0.702336028
277,26,28,0
278,26,29,0.867073718
279,26,30,0.981227171
280,26,31,0.956660763
281,26,32,0.693503309
282,26,36,0.647309264
283,26,61,0.953930888
284,27,28,0.569753565
285,27,30,0
286,27,32,0.797552238
287,27,33,0.951138535
288,27,34,0.887064989
289,27,35,0.928131989
290,27,36,0.933295471
291,27,77,0.624388281
292,27,94,0.854825395
293,28,29,0.628621149
294,28,30,0.889747823
295,28,31,0.757077206
296,28,32,0.918455046
297,28,33,0
298,28,34,0.925137612
299,28,35,0.992197114
300,28,36,0.968353027
301,28,38,0.642478042
302,28,62,0.96338301
303,28,85,0.858194432
304,29,30,0.862974016
305,29,31,0.859511101
306,29,33,0
307,29,34,0.535231091
308,29,35,0.910204228
