	ID	Description
3AMH02022201_Colorectal Adenocarc	GSM18865	Colorectal Adenocarc
3AMH02030601_Colorectal Adenocarcinoma	GSM18866	Colorectal Adenocarcinoma
3AJZ02052318_WHOLEBLOOD(JJV)	GSM18867	WHOLEBLOOD(JJV)
3AJZ02052320_WHOLEBLOOD(JJV)	GSM18868	WHOLEBLOOD(JJV)
3AMH02082105_BM_CD33Myeloid	GSM18869	BM_CD33Myeloid
3AMH02082106_BM_CD33Myeloid	GSM18870	BM_CD33Myeloid
3AMH02082315_PB_CD14Monocytes	GSM18871	PB_CD14Monocytes
3AMH02082316_PB_CD14Monocytes	GSM18872	PB_CD14Monocytes
3AMH02082012_PB_BDCA4DentriticCells	GSM18873	PB_BDCA4DentriticCells
3AMH02082111_PB_BDCA4DentriticCells	GSM18874	PB_BDCA4DentriticCells
3AMH02082109_PB_CD56NKCells	GSM18875	PB_CD56NKCells
3AMH02082110_PB_CD56NKCells	GSM18876	PB_CD56NKCells
3AMH02082803_PB_CD4TCells	GSM18877	PB_CD4TCells
3AMH02082804_PB_CD4TCells	GSM18878	PB_CD4TCells
3AMH02082805_PB_CD8TCells	GSM18879	PB_CD8TCells
3AMH02082806_PB_CD8TCells	GSM18880	PB_CD8TCells
3AMH02082107_PB_CD19BCells	GSM18881	PB_CD19BCells
3AMH02082108_PB_CD19BCells	GSM18882	PB_CD19BCells
3AMH02082103_BM_CD105Endothelial	GSM18883	BM_CD105Endothelial
3AMH02082104_BM_CD105Endothelial	GSM18884	BM_CD105Endothelial
3AMH02082001_BM_CD34	GSM18885	BM_CD34
3AMH02082102_BM_CD34	GSM18886	BM_CD34
3AJZ02022218_leukemia lymphoblastic (MOLT-4)	GSM18887	leukemia lymphoblastic (MOLT-4)
3AJZ02022869_leukemia lymphoblastic (MOLT-4)	GSM18888	leukemia lymphoblastic (MOLT-4)
3AMH02082809_721_BLymphoblasts	GSM18889	721_BLymphoblasts
3AMH02082810_721_BLymphoblasts	GSM18890	721_BLymphoblasts
3AMH02022603_LymphomaRaji	GSM18891	LymphomaRaji
3AMH02030602_LymphomaRaji	GSM18892	LymphomaRaji
"3AJZ02022103_leukemia, promyelocytic-HL-60"	GSM18893	"leukemia, promyelocytic-HL-60"
"3AJZ02022220_leukemia, promyelocytic-HL-60"	GSM18894	"leukemia, promyelocytic-HL-60"
