"","Gene 1","Gene 2","GOSEMScore"
"1",9564,717,0.2025
"2",9564,973,0.3795
"3",9564,3078,0.3455
"4",9564,2534,0.5625
"5",9564,8517,0.4965
"6",9564,3848,0.277
"7",9564,7462,0.363
"8",9564,10892,0.55
"9",9564,150372,0.4125
"10",9564,5788,0.512
"11",9564,84174,0.4515
"12",9564,7070,0.525
"13",9564,7189,0.525
"14",9564,50852,0.461
"15",9564,7334,0.408
"16",717,973,0.2625
"17",717,3078,0.9465
"18",717,2534,0.2735
"19",717,8517,0.333
"20",717,3848,0.5455
"21",717,7462,0.561
"22",717,10892,0.285
"23",717,4153,0.7255
"24",717,150372,0.245
"25",717,5788,0.401
"26",717,84174,0.3055
"27",717,7070,0.353
"28",717,7189,0.2885
"29",717,50852,0.249
"30",717,7334,0.4445
"31",973,3078,0.3105
"32",973,2534,0.57
"33",973,8517,0.3075
"34",973,3848,0.2575
"35",973,7462,0.685
"36",973,10892,0.378
"37",973,4153,0.285
"38",973,150372,0.51
"39",973,5788,0.5205
"40",973,84174,0.5825
"41",973,7070,0.5085
"42",973,7189,0.4295
"43",973,50852,0.514
"44",973,7334,0.2935
"45",3078,2534,0.366
"46",3078,8517,0.409
"47",3078,3848,0.7325
"48",3078,7462,0.5735
"49",3078,10892,0.3525
"50",3078,4153,0.8505
"51",3078,150372,0.2575
"52",3078,5788,0.542
"53",3078,84174,0.3925
"54",3078,7070,0.4575
"55",3078,7189,0.414
"56",3078,50852,0.3195
"57",3078,7334,0.531
"58",2534,8517,0.517
"59",2534,3848,0.3025
"60",2534,7462,0.596
"61",2534,10892,0.529
"62",2534,4153,0.2825
"63",2534,150372,0.465
"64",2534,5788,0.5275
"65",2534,84174,0.5915
"66",2534,7070,0.567
"67",2534,7189,0.5585
"68",2534,50852,0.5755
"69",2534,7334,0.4325
"70",8517,3848,0.3385
"71",8517,7462,0.3755
"72",8517,10892,0.648
"73",8517,4153,0.314
"74",8517,150372,0.318
"75",8517,5788,0.3175
"76",8517,84174,0.501
"77",8517,7070,0.329
"78",8517,7189,0.671
"79",8517,50852,0.3635
"80",8517,7334,0.698
"81",3848,7462,0.4275
"82",3848,10892,0.34
"83",3848,4153,0.4985
"84",3848,150372,0.43
"85",3848,5788,0.415
"86",3848,84174,0.29
"87",3848,7070,0.3945
"88",3848,7189,0.3535
"89",3848,50852,0.2565
"90",3848,7334,0.3835
"91",7462,10892,0.4005
"92",7462,4153,0.453
"93",7462,150372,0.5655
"94",7462,5788,0.5495
"95",7462,84174,0.5605
"96",7462,7070,0.5105
"97",7462,7189,0.399
"98",7462,50852,0.603
"99",7462,7334,0.371
"100",10892,4153,0.2595
"101",10892,150372,0.4765
"102",10892,5788,0.4535
"103",10892,84174,0.502
"104",10892,7070,0.4505
"105",10892,7189,0.7215
"106",10892,50852,0.455
"107",10892,7334,0.658
"108",4153,150372,0.2265
"109",4153,5788,0.45
"110",4153,84174,0.249
"111",4153,7070,0.324
"112",4153,7189,0.2655
"113",4153,50852,0.2535
"114",4153,7334,0.3655
"115",150372,5788,0.612
"116",150372,84174,0.4785
"117",150372,7070,0.57
"118",150372,7189,0.481
"119",150372,50852,0.644
"120",150372,7334,0.2585
"121",5788,84174,0.4935
"122",5788,7070,0.6975
"123",5788,7189,0.4885
"124",5788,50852,0.553
"125",5788,7334,0.3575
"126",84174,7070,0.4685
"127",84174,7189,0.5625
"128",84174,50852,0.566
"129",84174,7334,0.412
"130",7070,7189,0.4775
"131",7070,50852,0.4705
"132",7070,7334,0.3655
"133",7189,50852,0.459
"134",7189,7334,0.6585
"135",50852,7334,0.363
