"","Gene 1","Gene 2","GOSEMScore"
"1",487,489,0.6295
"2",487,27032,0.5405
"3",487,776,0.55
"4",487,781,0.3135
"5",487,784,0.437
"6",487,785,0.416
"7",487,6355,0.2355
"8",487,1139,0.4845
"9",487,1447,0.204
"10",487,10316,0.41
"11",487,56923,0.449
"12",487,4852,0.205
"13",487,84876,0.409
"14",487,5350,0.611
"15",487,6261,0.627
"16",487,6263,0.4945
"17",487,6546,0.57
"18",487,6588,0.543
"19",487,6786,0.5235
"20",487,57620,0.4705
"21",487,7220,0.439
"22",487,7222,0.471
"23",487,7223,0.467
"24",487,7224,0.436
"25",487,7226,0.3605
"26",487,56302,0.363
"27",489,27032,0.567
"28",489,776,0.403
"29",489,781,0.4585
"30",489,784,0.4845
"31",489,785,0.475
"32",489,6355,0.2465
"33",489,1139,0.4015
"34",489,1447,0.3515
"35",489,10316,0.3625
"36",489,56923,0.3685
"37",489,4852,0.2065
"38",489,84876,0.513
"39",489,5350,0.5195
"40",489,6261,0.591
"41",489,6263,0.6515
"42",489,6546,0.416
"43",489,6588,0.6095
"44",489,6786,0.741
"45",489,57620,0.708
"46",489,7220,0.48
"47",489,7222,0.479
"48",489,7223,0.5455
"49",489,7224,0.5105
"50",489,7226,0.54
"51",489,56302,0.501
"52",27032,776,0.44
"53",27032,781,0.344
"54",27032,784,0.49
"55",27032,785,0.45
"56",27032,6355,0.279
"57",27032,1139,0.5335
"58",27032,1447,0.231
"59",27032,10316,0.468
"60",27032,56923,0.5075
"61",27032,4852,0.222
"62",27032,84876,0.4755
"63",27032,5350,0.5075
"64",27032,6261,0.5235
"65",27032,6263,0.537
"66",27032,6546,0.4655
"67",27032,6588,0.5125
"68",27032,6786,0.5175
"69",27032,57620,0.564
"70",27032,7220,0.509
"71",27032,7222,0.502
"72",27032,7223,0.4355
"73",27032,7224,0.485
"74",27032,7226,0.4675
"75",27032,56302,0.4665
"76",776,781,0.4965
"77",776,784,0.626
"78",776,785,0.6285
"79",776,6355,0.2955
"80",776,1139,0.592
"81",776,1447,0.256
"82",776,10316,0.537
"83",776,56923,0.546
"84",776,4852,0.304
"85",776,84876,0.5055
"86",776,5350,0.5205
"87",776,6261,0.517
"88",776,6263,0.405
"89",776,6546,0.621
"90",776,6588,0.453
"91",776,6786,0.4595
"92",776,57620,0.53
"93",776,7220,0.586
"94",776,7222,0.604
"95",776,7223,0.5795
"96",776,7224,0.6565
"97",776,7226,0.5395
"98",776,56302,0.5415
"99",781,784,0.4825
"100",781,785,0.464
"101",781,1139,0.396
"102",781,1447,0.62
"103",781,10316,0.3715
"104",781,56923,0.332
"105",781,4852,0.3315
"106",781,84876,0.543
"107",781,5350,0.348
"108",781,6261,0.37
"109",781,6263,0.382
"110",781,6546,0.3145
"111",781,6588,0.433
"112",781,6786,0.47
"113",781,57620,0.5195
"114",781,7220,0.477
"115",781,7222,0.401
"116",781,7223,0.556
"117",781,7224,0.6045
"118",781,7226,0.5975
"119",781,56302,0.537
"120",784,785,0.803
"121",784,6355,0.3285
"122",784,1139,0.5165
"123",784,1447,0.2395
"124",784,10316,0.4155
"125",784,56923,0.467
"126",784,4852,0.2855
"127",784,84876,0.5235
"128",784,5350,0.478
"129",784,6261,0.4235
"130",784,6263,0.4385
"131",784,6546,0.428
"132",784,6588,0.4335
"133",784,6786,0.4445
"134",784,57620,0.4865
"135",784,7220,0.5545
"136",784,7222,0.53
"137",784,7223,0.5715
"138",784,7224,0.6475
"139",784,7226,0.4985
"140",784,56302,0.4985
"141",785,6355,0.338
"142",785,1139,0.5315
"143",785,1447,0.265
"144",785,10316,0.461
"145",785,56923,0.495
"146",785,4852,0.29
"147",785,84876,0.4845
"148",785,5350,0.446
"149",785,6261,0.456
"150",785,6263,0.4155
"151",785,6546,0.4675
"152",785,6588,0.4185
"153",785,6786,0.47
"154",785,57620,0.531
"155",785,7220,0.598
"156",785,7222,0.577
"157",785,7223,0.602
"158",785,7224,0.671
"159",785,7226,0.556
"160",785,56302,0.5545
"161",6355,1139,0.304
"162",6355,1447,0.2305
"163",6355,10316,0.2295
"164",6355,56923,0.2675
"165",6355,4852,0.2045
"166",6355,84876,0.209
"167",6355,5350,0.2445
"168",6355,6261,0.2135
"169",6355,6263,0.208
"170",6355,6546,0.246
"171",6355,6588,0.237
"172",6355,6786,0.223
"173",6355,57620,0.2475
"174",6355,7220,0.324
"175",6355,7222,0.298
"176",6355,7223,0.287
"177",6355,7224,0.268
"178",1139,1447,0.209
"179",1139,10316,0.658
"180",1139,56923,0.6985
"181",1139,4852,0.298
"182",1139,84876,0.548
"183",1139,5350,0.446
"184",1139,6261,0.5265
"185",1139,6263,0.5305
"186",1139,6546,0.576
"187",1139,6588,0.5145
"188",1139,6786,0.477
"189",1139,57620,0.494
"190",1139,7220,0.6935
"191",1139,7222,0.692
"192",1139,7223,0.517
"193",1139,7224,0.6415
"194",1139,7226,0.5935
"195",1139,56302,0.5825
"196",1447,10316,0.2025
"197",1447,4852,0.507
"198",1447,84876,0.3565
"199",1447,5350,0.2755
"200",1447,6261,0.309
"201",1447,6546,0.227
"202",1447,6588,0.3285
"203",1447,6786,0.317
"204",1447,57620,0.3305
"205",1447,7220,0.2805
"206",1447,7222,0.259
"207",1447,7223,0.309
"208",1447,7224,0.291
"209",1447,7226,0.328
"210",1447,56302,0.287
"211",10316,56923,0.8195
"212",10316,4852,0.2175
"213",10316,84876,0.577
"214",10316,5350,0.3945
"215",10316,6261,0.431
"216",10316,6263,0.5115
"217",10316,6546,0.561
"218",10316,6588,0.5435
"219",10316,6786,0.483
"220",10316,57620,0.472
"221",10316,7220,0.582
"222",10316,7222,0.671
