"GeneA"	"GeneB"	"GOSEMScore"
"1"	26100	1234	0.399
"2"	26100	50632	0.322
"3"	26100	1582	0.3185
"4"	26100	1780	0.286
"5"	26100	51616	0.328
"6"	26100	1796	0.4645
"7"	26100	5148	0.3
"8"	26100	2218	0.3825
"9"	26100	7204	0.754
"10"	26100	23225	0.28
"11"	26100	151531	0.441
"12"	26100	84838	0.496
"13"	26100	83700	0.2295
"14"	26100	123099	0.389
"15"	26100	2968	0.433
"16"	26100	5253	0.3505
"17"	26100	253314	0.2015
"18"	26100	695	0.461
"19"	26100	7043	0.288
"20"	26100	84148	0.4545
"21"	26100	166336	0.342
"22"	26100	5601	0.5025
"23"	1234	50632	0.3295
"24"	1234	1582	0.323
"25"	1234	1796	0.386
"26"	1234	5148	0.3915
"27"	1234	2218	0.2405
"28"	1234	7204	0.4285
"29"	1234	23225	0.4115
"30"	1234	83700	0.335
"31"	1234	123099	0.3165
"32"	1234	2968	0.216
"33"	1234	390181	0.4395
"34"	1234	695	0.4555
"35"	1234	3069	0.285
"36"	1234	7043	0.3455
"37"	1234	166336	0.342
"38"	1234	55707	0.351
"39"	1234	5601	0.294
"40"	50632	353288	0.3585
"41"	50632	1780	0.238
"42"	50632	5148	0.2745
"43"	50632	401409	0.3585
"44"	50632	7204	0.2655
"45"	50632	23225	0.2605
"46"	50632	83700	0.2465
"47"	50632	123099	0.209
"48"	50632	390181	0.3155
"49"	50632	695	0.2645
"50"	50632	3069	0.239
"51"	50632	7043	0.3265
"52"	50632	84148	0.234
"53"	50632	55707	0.6115
"54"	50632	5601	0.2095
"55"	1582	1780	0.228
"56"	1582	51616	0.203
"57"	1582	1796	0.28
"58"	1582	5148	0.276
"59"	1582	2218	0.3785
"60"	1582	7204	0.366
"61"	1582	23225	0.406
"62"	1582	151531	0.4355
"63"	1582	84838	0.298
"64"	1582	123099	0.818
"65"	1582	2968	0.312
"66"	1582	5253	0.277
"67"	1582	695	0.317
"68"	1582	7043	0.21
"69"	1582	84148	0.3205
"70"	1582	5601	0.3035
"71"	353288	1780	0.4255
"72"	353288	401409	0.4775
"73"	353288	2218	0.348
"74"	353288	83700	0.348
"75"	353288	7043	0.3805
"76"	353288	55707	0.2265
"77"	1780	1796	0.2125
"78"	1780	401409	0.4255
"79"	1780	7204	0.5605
"80"	1780	151531	0.313
"81"	1780	123099	0.249
"82"	1780	2968	0.226
"83"	1780	5253	0.213
"84"	1780	695	0.294
"85"	1780	84148	0.262
"86"	1780	55707	0.29
"87"	1780	5601	0.3535
"88"	51616	1796	0.2295
"89"	51616	5148	0.2005
"90"	51616	2218	0.2755
"91"	51616	7204	0.268
"92"	51616	23225	0.223
"93"	51616	151531	0.214
"94"	51616	84838	0.3995
"95"	51616	2968	0.608
"96"	51616	5253	0.324
"97"	51616	695	0.28
"98"	51616	7043	0.2615
"99"	51616	84148	0.5305
"100"	51616	5601	0.4495
"101"	1796	5148	0.2515
"102"	1796	2218	0.3145
"103"	1796	7204	0.748
"104"	1796	23225	0.2405
"105"	1796	151531	0.3065
"106"	1796	84838	0.514
"107"	1796	123099	0.203
"108"	1796	2968	0.2485
"109"	1796	5253	0.3765
"110"	1796	695	0.4915
"111"	1796	84148	0.2955
"112"	1796	166336	0.342
"113"	1796	5601	0.5495
"114"	5148	7204	0.2455
"115"	5148	23225	0.2655
"116"	5148	83700	0.318
"117"	5148	123099	0.3355
"118"	5148	390181	0.4395
"119"	5148	695	0.341
"120"	5148	3069	0.27
"121"	5148	7043	0.305
"122"	5148	84148	0.201
"123"	5148	5601	0.2335
"124"	401409	2218	0.348
"125"	401409	83700	0.348
"126"	401409	7043	0.3805
"127"	401409	55707	0.2265
"128"	2218	7204	0.379
"129"	2218	23225	0.2455
"130"	2218	151531	0.238
"131"	2218	84838	0.5375
"132"	2218	83700	0.2505
