"","Gene 1","Gene 2","GOSEMScore"
"1",9564,717,0.2025
"2",9564,973,0.3795
"3",9564,3078,0.3455
"4",9564,2534,0.5625
"5",9564,8517,0.4965
"6",9564,3848,0.277
"7",9564,7462,0.363
"8",9564,10892,0.55
"9",9564,150372,0.4125
"10",9564,5788,0.512
"11",9564,84174,0.4515
"12",9564,7070,0.525
"13",9564,7189,0.525
"14",9564,50852,0.461
"15",9564,7334,0.408
"16",9564,487,0.3335
"17",9564,489,0.2875
"18",9564,27032,0.3505
"19",9564,776,0.4045
"20",9564,784,0.414
"21",9564,785,0.428
"22",9564,6355,0.2325
"23",9564,1139,0.3705
"24",9564,10316,0.36
"25",9564,56923,0.3165
"26",9564,4852,0.25
"27",9564,84876,0.282
"28",9564,5350,0.2985
"29",9564,6261,0.37
"30",9564,6263,0.275
"31",9564,6546,0.4325
"32",9564,6588,0.243
"33",9564,6786,0.326
"34",9564,57620,0.312
"35",9564,7220,0.3305
"36",9564,7222,0.4015
"37",9564,7223,0.3895
"38",9564,7224,0.3255
"39",9564,7226,0.2515
"40",9564,56302,0.273
"41",9564,197,0.2455
"42",9564,1175,0.514
"43",9564,382,0.488
"44",9564,566,0.297
"45",9564,867,0.552
"46",9564,1012,0.5425
"47",9564,2624,0.3455
"48",9564,26119,0.3955
"49",9564,29763,0.247
"50",9564,5538,0.382
"51",9564,5879,0.613
"52",9564,6441,0.2905
"53",9564,124912,0.233
"54",9564,11037,0.303
"55",9564,85439,0.37
"56",9564,9765,0.375
"57",717,973,0.2625
"58",717,3078,0.9465
"59",717,2534,0.2735
"60",717,8517,0.333
"61",717,3848,0.5455
"62",717,7462,0.561
"63",717,10892,0.285
"64",717,4153,0.7255
"65",717,150372,0.245
"66",717,5788,0.401
"67",717,84174,0.3055
"68",717,7070,0.353
"69",717,7189,0.2885
"70",717,50852,0.249
"71",717,7334,0.4445
"72",717,489,0.2645
"73",717,781,0.462
"74",717,1447,0.57
"75",717,4852,0.478
"76",717,84876,0.27
"77",717,6261,0.2705
"78",717,6786,0.282
"79",717,7222,0.221
"80",717,197,0.7195
"81",717,1175,0.3535
"82",717,382,0.339
"83",717,566,0.6285
"84",717,867,0.201
"85",717,1012,0.3775
"86",717,2624,0.285
"87",717,26119,0.289
"88",717,29763,0.578
"89",717,5538,0.367
"90",717,5879,0.3935
"91",717,6441,0.594
"92",717,124912,0.589
"93",717,11037,0.3975
"94",717,85439,0.2285
"95",717,9765,0.2665
"96",973,3078,0.3105
"97",973,2534,0.57
"98",973,8517,0.3075
"99",973,3848,0.2575
"100",973,7462,0.685
"101",973,10892,0.378
"102",973,4153,0.285
"103",973,150372,0.51
"104",973,5788,0.5205
"105",973,84174,0.5825
"106",973,7070,0.5085
"107",973,7189,0.4295
"108",973,50852,0.514
"109",973,7334,0.2935
"110",973,487,0.243
"111",973,489,0.249
"112",973,27032,0.2745
"113",973,776,0.306
"114",973,784,0.273
"115",973,785,0.3335
"116",973,1139,0.3865
"117",973,10316,0.3715
"118",973,56923,0.3325
"119",973,84876,0.303
"120",973,5350,0.217
"121",973,6261,0.318
"122",973,6263,0.258
"123",973,6546,0.2955
"124",973,6588,0.229
"125",973,6786,0.343
"126",973,57620,0.324
"127",973,7220,0.3785
"128",973,7222,0.4275
"129",973,7223,0.344
"130",973,7224,0.3445
"131",973,7226,0.309
"132",973,56302,0.3045
"133",973,1175,0.358
"134",973,382,0.2855
"135",973,566,0.208
"136",973,867,0.3915
"137",973,1012,0.331
"138",973,2624,0.2125
"139",973,26119,0.303
"140",973,5538,0.242
"141",973,5879,0.3405
"142",973,6441,0.2245
"143",973,124912,0.2295
"144",973,9765,0.2365
"145",3078,2534,0.366
"146",3078,8517,0.409
"147",3078,3848,0.7325
"148",3078,7462,0.5735
"149",3078,10892,0.3525
"150",3078,4153,0.8505
"151",3078,150372,0.2575
"152",3078,5788,0.542
"153",3078,84174,0.3925
"154",3078,7070,0.4575
"155",3078,7189,0.414
"156",3078,50852,0.3195
"157",3078,7334,0.531
"158",3078,27032,0.2975
"159",3078,776,0.21
"160",3078,781,0.366
"161",3078,6355,0.209
"162",3078,1139,0.253
"163",3078,1447,0.4825
"164",3078,4852,0.5475
"165",3078,6261,0.2265
"166",3078,197,0.677
"167",3078,1175,0.4405
"168",3078,382,0.3275
"169",3078,566,0.5775
"170",3078,867,0.2355
"171",3078,1012,0.456
"172",3078,2624,0.2385
"173",3078,26119,0.377
"174",3078,29763,0.452
"175",3078,5538,0.382
"176",3078,5879,0.5095
"177",3078,6441,0.6
"178",3078,124912,0.531
"179",2534,8517,0.517
"180",2534,3848,0.3025
"181",2534,7462,0.596
"182",2534,10892,0.529
"183",2534,4153,0.2825
"184",2534,150372,0.465
"185",2534,5788,0.5275
"186",2534,84174,0.5915
"187",2534,7070,0.567
"188",2534,7189,0.5585
"189",2534,50852,0.5755
"190",2534,7334,0.4325
"191",2534,487,0.446
"192",2534,489,0.4585
"193",2534,27032,0.4685
"194",2534,776,0.471
"195",2534,781,0.2275
"196",2534,784,0.5045
"197",2534,785,0.509
"198",2534,6355,0.3055
"199",2534,1139,0.5
"200",2534,10316,0.446
"201",2534,56923,0.469
"202",2534,4852,0.2855
"203",2534,84876,0.39
"204",2534,5350,0.3995
"205",2534,6261,0.465
"206",2534,6263,0.3905
"207",2534,6546,0.4685
"208",2534,6588,0.3595
"209",2534,6786,0.49
"210",2534,57620,0.434
"211",2534,7220,0.4365
"212",2534,7222,0.527
"213",2534,7223,0.426
"214",2534,7224,0.4435
"215",2534,7226,0.3615
"216",2534,56302,0.368
"217",2534,197,0.2745
"218",2534,1175,0.6
"219",2534,382,0.4605
"220",2534,566,0.3295
"221",2534,867,0.643
"222",2534,1012,0.447
"223",2534,2624,0.2865
"224",2534,26119,0.484
"225",2534,29763,0.2345
"226",2534,5538,0.4425
"227",2534,5879,0.608
"228",2534,6441,0.3495
"229",2534,124912,0.332
"230",2534,11037,0.375
"231",2534,85439,0.231
"232",2534,9765,0.4545
"233",8517,3848,0.3385
"234",8517,7462,0.3755
"235",8517,10892,0.648
"236",8517,4153,0.314
"237",8517,150372,0.318
"238",8517,5788,0.3175
"239",8517,84174,0.501
"240",8517,7070,0.329
"241",8517,7189,0.671
"242",8517,50852,0.3635
"243",8517,7334,0.698
"244",8517,487,0.2905
"245",8517,489,0.281
"246",8517,27032,0.2935
"247",8517,776,0.2425
"248",8517,784,0.342
"249",8517,785,0.3135
"250",8517,6355,0.232
"251",8517,1139,0.274
"252",8517,5350,0.2555
"253",8517,6261,0.272
"254",8517,6546,0.207
"255",8517,6786,0.2975
"256",8517,57620,0.2255
"257",8517,7222,0.208
"258",8517,197,0.2865
"259",8517,1175,0.4195
"260",8517,382,0.227
"261",8517,566,0.3345
"262",8517,867,0.495
"263",8517,1012,0.297
"264",8517,2624,0.408
"265",8517,26119,0.3705
"266",8517,29763,0.292
"267",8517,5538,0.312
"268",8517,5879,0.4485
"269",8517,6441,0.381
"270",8517,124912,0.3135
"271",8517,85439,0.3145
"272",8517,9765,0.3955
"273",3848,7462,0.4275
"274",3848,10892,0.34
"275",3848,4153,0.4985
"276",3848,150372,0.43
"277",3848,5788,0.415
"278",3848,84174,0.29
"279",3848,7070,0.3945
"280",3848,7189,0.3535
"281",3848,50852,0.2565
"282",3848,7334,0.3835
"283",3848,487,0.303
"284",3848,489,0.2295
"285",3848,27032,0.2555
"286",3848,776,0.255
"287",3848,781,0.254
"288",3848,784,0.229
"289",3848,1139,0.2735
"290",3848,1447,0.3625
"291",3848,4852,0.34
"292",3848,84876,0.31
"293",3848,5350,0.2775
"294",3848,6261,0.366
"295",3848,6546,0.3015
"296",3848,6786,0.2885
"297",3848,57620,0.244
"298",3848,7220,0.2215
"299",3848,7222,0.266
"300",3848,7223,0.2105
"301",3848,7224,0.2015
"302",3848,197,0.5345
"303",3848,1175,0.2915
"304",3848,382,0.301
"305",3848,566,0.4145
"306",3848,867,0.2095
"307",3848,1012,0.3505
"308",3848,2624,0.383
"309",3848,26119,0.2385
"310",3848,29763,0.2905
"311",3848,5538,0.374
"312",3848,5879,0.3985
"313",3848,6441,0.4155
"314",3848,124912,0.344
"315",7462,10892,0.4005
"316",7462,4153,0.453
"317",7462,150372,0.5655
"318",7462,5788,0.5495
"319",7462,84174,0.5605
"320",7462,7070,0.5105
"321",7462,7189,0.399
"322",7462,50852,0.603
"323",7462,7334,0.371
"324",7462,487,0.2655
"325",7462,489,0.269
"326",7462,27032,0.2765
"327",7462,776,0.3125
"328",7462,781,0.335
"329",7462,784,0.254
"330",7462,785,0.289
"331",7462,1139,0.3985
"332",7462,1447,0.269
"333",7462,10316,0.476
"334",7462,56923,0.4355
"335",7462,4852,0.303
"336",7462,84876,0.346
"337",7462,6261,0.34
"338",7462,6263,0.2835
"339",7462,6546,0.3175
"340",7462,6588,0.204
"341",7462,6786,0.3735
"342",7462,57620,0.3045
"343",7462,7220,0.312
"344",7462,7222,0.4345
"345",7462,7223,0.281
"346",7462,7224,0.3225
"347",7462,7226,0.3185
"348",7462,56302,0.3145
"349",7462,197,0.4255
"350",7462,1175,0.4305
"351",7462,382,0.336
"352",7462,566,0.444
"353",7462,867,0.428
"354",7462,1012,0.4475
"355",7462,2624,0.218
"356",7462,26119,0.2515
"357",7462,29763,0.258
