Entrez ID	Symbol ID	Description
487	ATP2A1	"ATPase, Ca++ transporting, cardiac muscle..."
489	ATP2A3	"ATPase, Ca++ transporting, ubiquitous"
27032	ATP2C1	"ATPase, Ca++ transporting, type 2C, member 1"
776	CACNA1D	"calcium channel, voltage-dependent, L typ..."
781	CACNA2D1	"calcium channel, voltage-dependent, alpha..."
784	CACNB3	"calcium channel, voltage-dependent, beta ..."
785	CACNB4	"calcium channel, voltage-dependent, beta ..."
6355	CCL8	chemokine (C-C motif) ligand 8
1139	CHRNA7	"cholinergic receptor, nicotinic, alpha 7"
1447	CSN2	casein beta
10316	NMUR1	neuromedin U receptor 1
56923	NMUR2	neuromedin U receptor 2
4852	NPY	neuropeptide Y
84876	ORAI1	ORAI calcium release-activated calcium mo...
5350	PLN	phospholamban
6261	RYR1	ryanodine receptor 1 (skeletal)
6263	RYR3	ryanodine receptor 3
6546	SLC8A1	solute carrier family 8 (sodium/calcium e...
6588	SLN	sarcolipin
6786	STIM1	stromal interaction molecule 1
57620	STIM2	stromal interaction molecule 2
7220	TRPC1	transient receptor potential cation chann...
7222	TRPC3	transient receptor potential cation chann...
7223	TRPC4	transient receptor potential cation chann...
7224	TRPC5	transient receptor potential cation chann...
7226	TRPM2	transient receptor potential cation chann...
56302	TRPV5	transient receptor potential cation chann...
