Entrez ID	Symbol ID	Description
9564	BCAR1	breast cancer anti-estrogen resistance 1
717	C2	complement component 2
973	CD79A	"CD79a molecule, immunoglobulin-associated alpha"
3078	CFHR1	complement factor H-related 1
2534	FYN	"FYN oncogene related to SRC, FGR, YES"
8517	IKBKG	inhibitor of kappa light polypeptide gene enha...
3848	KRT1	keratin 1
7462	LAT2	"linker for activation of T cells family, member 2"
10892	MALT1	mucosa associated lymphoid tissue lymphoma tra...
4153	MBL2	"mannose-binding lectin (protein C) 2, soluble"
150372	NFAM1	NFAT activating protein with ITAM motif 1
5788	PTPRC	"protein tyrosine phosphatase, receptor type, C"
84174	SLA2	Src-like-adaptor 2
7070	THY1	Thy-1 cell surface antigen
7189	TRAF6	TNF receptor-associated factor 6
50852	TRAT1	T cell receptor associated transmembrane adapt...
7334	UBE2N	ubiquitin-conjugating enzyme E2N
487	ATP2A1	"ATPase, Ca++ transporting, cardiac muscle..."
489	ATP2A3	"ATPase, Ca++ transporting, ubiquitous"
27032	ATP2C1	"ATPase, Ca++ transporting, type 2C, member 1"
776	CACNA1D	"calcium channel, voltage-dependent, L typ..."
781	CACNA2D1	"calcium channel, voltage-dependent, alpha..."
784	CACNB3	"calcium channel, voltage-dependent, beta ..."
785	CACNB4	"calcium channel, voltage-dependent, beta ..."
6355	CCL8	chemokine (C-C motif) ligand 8
1139	CHRNA7	"cholinergic receptor, nicotinic, alpha 7"
1447	CSN2	casein beta
10316	NMUR1	neuromedin U receptor 1
56923	NMUR2	neuromedin U receptor 2
4852	NPY	neuropeptide Y
84876	ORAI1	ORAI calcium release-activated calcium mo...
5350	PLN	phospholamban
6261	RYR1	ryanodine receptor 1 (skeletal)
6263	RYR3	ryanodine receptor 3
6546	SLC8A1	solute carrier family 8 (sodium/calcium e...
6588	SLN	sarcolipin
6786	STIM1	stromal interaction molecule 1
57620	STIM2	stromal interaction molecule 2
7220	TRPC1	transient receptor potential cation chann...
7222	TRPC3	transient receptor potential cation chann...
7223	TRPC4	transient receptor potential cation chann...
7224	TRPC5	transient receptor potential cation chann...
7226	TRPM2	transient receptor potential cation chann...
56302	TRPV5	transient receptor potential cation chann...
197	AHSG	alpha-2-HS-glycoprotein
1175	AP2S1	"adaptor-related protein complex 2, sigma 1..."
382	ARF6	ADP-ribosylation factor 6
566	AZU1	azurocidin 1
867	CBL	Cas-Br-M (murine) ecotropic retroviral tra...
1012	CDH13	"cadherin 13, H-cadherin (heart)"
2624	GATA2	GATA binding protein 2
26119	LDLRAP1	low density lipoprotein receptor adaptor p...
29763	PACSIN3	protein kinase C and casein kinase substra...
5538	PPT1	palmitoyl-protein thioesterase 1
5879	RAC1	ras-related C3 botulinum toxin substrate 1...
6441	SFTPD	surfactant protein D
124912	SPACA3	sperm acrosome associated 3
11037	STON1	stonin 1
85439	STON2	stonin 2
9765	ZFYVE16	"zinc finger, FYVE domain containing 16"
