"","Gene 1","Gene 2","PATHNEScore"
1,26100,644068,0
2,26100,100286844,0
3,26100,400984,0
4,26100,406973,0
5,26100,100033444,0
6,26100,28862,0
7,26100,442904,0
8,26100,100379296,0
9,26100,1234,0
10,26100,104548971,0
11,26100,221838,0
12,26100,50632,0
13,26100,1582,0
14,26100,353288,0
15,26100,404785,0
16,26100,6702,0
17,26100,100873901,0
18,26100,693174,0
19,26100,51151,0
20,26100,1780,0
21,26100,100507500,0
22,26100,51616,0
23,26100,1796,0
24,26100,5148,0
25,26100,319087,0
26,26100,401409,0
27,26100,7212,0
28,26100,100873800,0
29,26100,2218,0
30,26100,100616225,0
31,26100,100189182,0
32,26100,7204,0
33,26100,102465855,0
34,26100,100131012,0
35,26100,403275,0
36,26100,728971,0
37,26100,100873910,0
38,26100,693212,0
39,26100,285016,0
40,26100,23225,0
41,26100,89838,0
42,26100,375295,0
43,26100,100419187,0
44,26100,151531,0
45,26100,100271101,0
46,26100,84838,0
47,26100,100303728,0
48,26100,100048905,0
49,26100,100129480,0
50,26100,100996539,0
51,26100,22982,0
52,26100,553194,0
53,26100,100422533,0
54,26100,280664,0
55,26100,100505953,0
56,26100,643873,0
57,26100,83700,0
58,26100,123099,0
59,26100,50631,0
60,26100,2968,0
61,26100,5253,0
62,26100,253314,0
63,26100,574028,0
64,26100,390181,0
65,26100,100271161,0
66,26100,642819,0
67,26100,100506888,0
68,26100,8420,0
69,26100,695,0
70,26100,344387,0
71,26100,1418,0
72,26100,3069,0
73,26100,7043,0
74,26100,26749,0
75,26100,574499,0
76,26100,23172,0
77,26100,149281,0
78,26100,17,0
79,26100,100420149,0
80,26100,100128589,0
81,26100,100874235,0
82,26100,390318,0
83,26100,100129650,0
84,26100,359732,0
85,26100,100419098,0
86,26100,58499,0
87,26100,326286,0
88,26100,100874208,0
89,26100,442195,0
90,26100,84148,0
91,26100,11013,0
92,26100,102466727,0
93,26100,166336,0
94,26100,83982,0
95,26100,442720,0
96,26100,55707,0
97,26100,5601,0
98,26100,100272220,0
99,26100,220885,0
100,644068,100286844,0
101,644068,400984,0
102,644068,406973,0
103,644068,100033444,0
104,644068,28862,0
105,644068,442904,0
106,644068,100379296,0
107,644068,1234,0
108,644068,104548971,0
109,644068,221838,0
110,644068,50632,0
111,644068,1582,0
112,644068,353288,0
113,644068,404785,0
114,644068,6702,0
115,644068,100873901,0
116,644068,693174,0
117,644068,51151,0
118,644068,1780,0
119,644068,100507500,0
120,644068,51616,0
121,644068,1796,0
122,644068,5148,0
123,644068,319087,0
124,644068,401409,0
125,644068,7212,0
126,644068,100873800,0
127,644068,2218,0
128,644068,100616225,0
129,644068,100189182,0
130,644068,7204,0
131,644068,102465855,0
132,644068,100131012,0
133,644068,403275,0
134,644068,728971,0
135,644068,100873910,0
136,644068,693212,0
137,644068,285016,0
138,644068,23225,0
139,644068,89838,0
140,644068,375295,0
141,644068,100419187,0
142,644068,151531,0
143,644068,100271101,0
144,644068,84838,0
145,644068,100303728,0
146,644068,100048905,0
147,644068,100129480,0
148,644068,100996539,0
149,644068,22982,0
150,644068,553194,0
151,644068,100422533,0
152,644068,280664,0
153,644068,100505953,0
154,644068,643873,0
155,644068,83700,0
156,644068,123099,0
157,644068,50631,0
158,644068,2968,0
159,644068,5253,0
160,644068,253314,0
161,644068,574028,0
162,644068,390181,0
163,644068,100271161,0
164,644068,642819,0
165,644068,100506888,0
166,644068,8420,0
167,644068,695,0
168,644068,344387,0
169,644068,1418,0
170,644068,3069,0
171,644068,7043,0
172,644068,26749,0
173,644068,574499,0
174,644068,23172,0
175,644068,149281,0
176,644068,17,0
177,644068,100420149,0
178,644068,100128589,0
179,644068,100874235,0
180,644068,390318,0
181,644068,100129650,0
182,644068,359732,0
183,644068,100419098,0
184,644068,58499,0
185,644068,326286,0
186,644068,100874208,0
187,644068,442195,0
188,644068,84148,0
189,644068,11013,0
190,644068,102466727,0
191,644068,166336,0
192,644068,83982,0
193,644068,442720,0
194,644068,55707,0
195,644068,5601,0
196,644068,100272220,0
197,644068,220885,0
198,100286844,400984,0
199,100286844,406973,0
200,100286844,100033444,0
201,100286844,28862,0
202,100286844,442904,0
203,100286844,100379296,0
204,100286844,1234,0
205,100286844,104548971,0
206,100286844,221838,0
207,100286844,50632,0
208,100286844,1582,0
209,100286844,353288,0
210,100286844,404785,0
211,100286844,6702,0
212,100286844,100873901,0
213,100286844,693174,0
214,100286844,51151,0
215,100286844,1780,0
216,100286844,100507500,0
217,100286844,51616,0
218,100286844,1796,0
219,100286844,5148,0
220,100286844,319087,0
221,100286844,401409,0
222,100286844,7212,0
223,100286844,100873800,0
224,100286844,2218,0
225,100286844,100616225,0
226,100286844,100189182,0
227,100286844,7204,0
228,100286844,102465855,0
229,100286844,100131012,0
230,100286844,403275,0
231,100286844,728971,0
232,100286844,100873910,0
233,100286844,693212,0
234,100286844,285016,0
235,100286844,23225,0
236,100286844,89838,0
237,100286844,375295,0
238,100286844,100419187,0
239,100286844,151531,0
240,100286844,100271101,0
241,100286844,84838,0
242,100286844,100303728,0
243,100286844,100048905,0
244,100286844,100129480,0
245,100286844,100996539,0
246,100286844,22982,0
247,100286844,553194,0
248,100286844,100422533,0
249,100286844,280664,0
250,100286844,100505953,0
251,100286844,643873,0
252,100286844,83700,0
253,100286844,123099,0
254,100286844,50631,0
255,100286844,2968,0
256,100286844,5253,0
257,100286844,253314,0
258,100286844,574028,0
259,100286844,390181,0
260,100286844,100271161,0
261,100286844,642819,0
262,100286844,100506888,0
263,100286844,8420,0
264,100286844,695,0
265,100286844,344387,0
266,100286844,1418,0
267,100286844,3069,0
268,100286844,7043,0
269,100286844,26749,0
270,100286844,574499,0
271,100286844,23172,0
272,100286844,149281,0
273,100286844,17,0
274,100286844,100420149,0
275,100286844,100128589,0
276,100286844,100874235,0
277,100286844,390318,0
278,100286844,100129650,0
279,100286844,359732,0
280,100286844,100419098,0
281,100286844,58499,0
282,100286844,326286,0
283,100286844,100874208,0
284,100286844,442195,0
285,100286844,84148,0
286,100286844,11013,0
287,100286844,102466727,0
288,100286844,166336,0
289,100286844,83982,0
290,100286844,442720,0
291,100286844,55707,0
292,100286844,5601,0
293,100286844,100272220,0
294,100286844,220885,0
295,400984,406973,0
296,400984,100033444,0
297,400984,28862,0
298,400984,442904,0
299,400984,100379296,0
300,400984,1234,0
301,400984,104548971,0
302,400984,221838,0
303,400984,50632,0
304,400984,1582,0
