HUMAN:HS00076 NCBI1

HUMAN:HS00650 NCBI2

HUMAN:HS07402 NCBI3

HUMAN:HS03271 NCBI4

HUMAN:HS10588 NCBI5

HUMAN:HS03985 NCBI6

HUMAN:HS02595 NCBI7

HUMAN:HS01329 NCBI8

HUMAN:HS07643 NCBI9

HUMAN:HS07110 NCBI10

HUMAN:HS07423 NCBI11

HUMAN:HS08480 NCBI12

HUMAN:HS05604 NCBI13

HUMAN:HS08528 NCBI14

HUMAN:HS07859 NCBI15

HUMAN:HS01167 NCBI16

HUMAN:HS04399 NCBI17

HUMAN:HS05836 NCBI18

HUMAN:HS03634 NCBI19

HUMAN:HS03652 NCBI20

HUMAN:HS03355 NCBI21

HUMAN:HS08830 NCBI22

HUMAN:HS09566 NCBI23

HUMAN:HS00895 NCBI24

HUMAN:HS07522 NCBI25
