source,target,value
AB001,AB003,0.9315
AB001,AB008,0.9855
AB001,AB010,0.902
AB001,AB013,0.9254
AB001,AB016,0.9667
AB001,AB023,0.9665
AB001,AU051,0.9418
AB002,AB011,0.9034
AB002,AB016,0.9223
AB003,AB007,0.9144
AB003,AB011,0.9257
AB003,AB013,0.9684
AB003,AB014,0.9077
AB003,AB016,0.9476
AB003,AB019,0.9745
AB003,AB020,0.9355
AB003,AF032,0.9102
AB004,AB009,0.9271
AB004,AB010,0.9164
AB004,AB012,0.9151
AB004,AB020,0.9444
AB004,AB022,0.9165
AB004,AB024,0.9635
AB005,AB011,0.9044
AB005,AB012,0.969
AB006,AB012,0.9038
AB006,AB018,0.9281
AB006,AB020,0.9478
AB006,AB023,0.9689
AB006,BJ067,0.9276
AB007,AB012,0.9353
AB007,AB014,0.9283
AB007,AB016,0.9649
AB007,AB019,0.9489
AB007,AB022,0.9748
AB007,AB025,0.905
AB007,AM013,0.993
AB007,AN003,0.9517
AB008,AB010,0.9145
AB008,AB016,0.9394
AB008,AB020,0.9537
AB008,BG081,0.9853
AB009,AB011,0.9494
AB009,AB014,0.9044
AB009,AB021,0.9398
AB009,AB022,0.9599
AB009,AS034,0.9679
AB010,AB023,0.9316
AB011,AB015,0.9234
AB011,AB017,0.9066
AB012,AB018,0.9545
AB012,AB022,0.9471
AB012,AT031,0.9521
AB012,BF067,0.9539
AB013,AB021,0.9762
AB013,AB023,0.9754
AB013,AK014,0.9475
AB014,BD027,0.9002
AB015,AB017,0.9511
AB015,AB020,0.9216
AB015,AB023,0.9058
AB015,AB024,0.9436
AB015,AR019,0.9095
AB016,AB022,0.9906
AB016,AS014,0.9642
AB017,AB020,0.9315
AB018,AB022,0.9092
AB018,AB023,0.9711
AB018,AN051,0.9172
AB019,AB021,0.9714
AB020,AB024,0.9825
AB020,BG087,0.9767
AB021,AB024,0.9113
AB021,AR024,0.9144
AB021,BH056,0.9232
AB022,AB025,0.9233
AB022,BJ045,0.9454
AB025,AU050,0.9334
AB025,BI100,0.9481
AC001,AC013,0.9393
AC001,AC022,0.9269
AC001,AC023,0.9001
AC001,AO051,0.9018
AC001,BD050,0.9792
AC002,AC007,0.9573
AC002,AC015,0.9176
AC002,AC016,0.9796
AC002,AC020,0.9223
AC002,AS023,0.9744
AC002,BJ043,0.9254
AC003,AC005,0.9281
AC003,AC010,0.9663
AC003,AC014,0.9524
AC003,AC015,0.9477
AC003,AC022,0.9351
AC003,AC026,0.9697
AC004,AC012,0.9336
AC004,AC017,0.917
AC004,AC022,0.9333
AC004,AC025,0.9049
AC004,AW048,0.9047
AC005,AC014,0.9738
AC005,AC022,0.9125
AC005,AS005,0.9396
AC005,BE055,0.9549
AC006,AC007,0.9026
AC006,AC018,0.9212
AC006,AC027,0.9881
AC006,BG081,0.9379
AC006,BJ049,0.933
AC007,AC008,0.9648
AC007,AC010,0.9238
AC007,AC011,0.9853
AC007,AC023,0.9209
AC007,AC025,0.9691
AC007,AC026,0.9471
AC007,AC027,0.9498
AC008,AC025,0.911
AC008,AM034,0.9515
AC009,AC011,0.948
AC009,AC013,0.9132
AC009,AC020,0.9279
AC009,AV028,0.9361
AC010,AC015,0.9375
AC010,AC025,0.9566
AC011,AC016,0.9007
AC011,AC020,0.9511
AC011,AC021,0.9422
AC012,AC013,0.9772
AC012,AC014,0.9101
AC012,AC018,0.9352
AC012,AC022,0.9301
AC014,AC021,0.9601
AC014,AC025,0.9541
AC014,AC027,0.9855
AC014,AL011,0.9946
AC014,AU027,0.9338
AC015,AC018,0.9667
AC015,AW059,0.9698
AC015,BJ030,0.9471
AC016,AC018,0.976
AC016,AC026,0.9791
AC016,AC027,0.9248
AC017,AC019,0.9597
AC017,AC027,0.9023
AC017,BI070,0.9265
AC018,AC021,0.98
AC020,AC024,0.9384
AC020,AC027,0.9303
AC020,AZ033,0.9008
AC021,AV027,0.9131
AC022,AC024,0.9112
AC022,AC026,0.9293
AC022,BD049,0.9227
AC022,BJ052,0.9408
AC023,AC024,0.9525
AC023,AC026,0.9038
AC023,BG026,0.922
AC024,AC026,0.9728
AC025,AC026,0.9776
AD001,AD015,0.9139
AD001,AD018,0.9326
AD001,AD019,0.972
AD001,AD023,0.95
AD002,AD004,0.9549
AD002,AD010,0.9332
AD002,AD027,0.9358
AD002,AD028,0.9377
AD003,AD009,0.9099
AD003,AD017,0.9086
AD003,AD024,0.9675
AD003,AD029,0.9432
AD004,AD012,0.9359
AD004,AD014,0.978
AD004,AD017,0.9337
AD004,AD029,0.9523
AD005,AD007,0.9211
AD005,AD012,0.9479
AD005,AD021,0.9768
AD005,AD024,0.9072
AD005,AD030,0.9643
AD005,AD032,0.9066
AD006,AD013,0.9687
AD006,AD017,0.9222
AD006,AD018,0.9301
AD006,AD020,0.9452
AD006,AD029,0.9081
AD007,AD013,0.9485
AD007,AD017,0.9744
AD007,AD020,0.9478
AD007,AD024,0.9659
AD007,AD025,0.9344
AD007,BC035,0.9326
AD007,BF052,0.9392
AD007,BJ085,0.9592
AD008,AD010,0.9439
AD008,AD019,0.9656
AD008,AD026,0.952
AD008,AD029,0.9356
AD009,AD014,0.9541
AD009,AD017,0.9499
AD009,AD027,0.94
AD010,AD026,0.9859
AD010,AN041,0.9831
AD011,AD013,0.9567
AD011,AD016,0.9083
AD011,AD019,0.9067
AD011,AD026,0.9297
AD011,AK044,0.9462
AD011,AT040,0.9024
AD011,BJ110,0.9009
AD012,AD014,0.9376
AD012,AD026,0.9543
AD012,AD030,0.9278
AD012,AD031,0.9603
AD012,BE006,0.9364
AD012,BJ059,0.942
AD013,AD014,0.9802
AD013,AD018,0.951
AD013,AD031,0.9047
AD013,AH032,0.9781
AD014,AD017,0.9128
AD014,AD020,0.9238
AD014,AD027,0.963
AD014,AK019,0.9319
AD014,BG069,0.9275
AD015,AD019,0.9011
AD015,AD020,0.9506
AD015,AD023,0.9252
AD015,AD028,0.953
AD015,AK005,0.963
AD015,AO049,0.9077
AD015,BC067,0.9445
AD016,AD023,0.9719
