Entrez ID	Symbol ID	Description
9564	BCAR1	breast cancer anti-estrogen resistance 1
717	C2	complement component 2
973	CD79A	"CD79a molecule, immunoglobulin-associated alpha"
3078	CFHR1	complement factor H-related 1
2534	FYN	"FYN oncogene related to SRC, FGR, YES"
8517	IKBKG	inhibitor of kappa light polypeptide gene enha...
3848	KRT1	keratin 1
7462	LAT2	"linker for activation of T cells family, member 2"
10892	MALT1	mucosa associated lymphoid tissue lymphoma tra...
4153	MBL2	"mannose-binding lectin (protein C) 2, soluble"
150372	NFAM1	NFAT activating protein with ITAM motif 1
5788	PTPRC	"protein tyrosine phosphatase, receptor type, C"
84174	SLA2	Src-like-adaptor 2
7070	THY1	Thy-1 cell surface antigen
7189	TRAF6	TNF receptor-associated factor 6
50852	TRAT1	T cell receptor associated transmembrane adapt...
7334	UBE2N	ubiquitin-conjugating enzyme E2N
