Entrez ID	Symbol ID	Description
197	AHSG	alpha-2-HS-glycoprotein
1175	AP2S1	"adaptor-related protein complex 2, sigma 1..."
382	ARF6	ADP-ribosylation factor 6
566	AZU1	azurocidin 1
867	CBL	Cas-Br-M (murine) ecotropic retroviral tra...
1012	CDH13	"cadherin 13, H-cadherin (heart)"
2624	GATA2	GATA binding protein 2
26119	LDLRAP1	low density lipoprotein receptor adaptor p...
29763	PACSIN3	protein kinase C and casein kinase substra...
5538	PPT1	palmitoyl-protein thioesterase 1
5879	RAC1	ras-related C3 botulinum toxin substrate 1...
6441	SFTPD	surfactant protein D
124912	SPACA3	sperm acrosome associated 3
11037	STON1	stonin 1
85439	STON2	stonin 2
9765	ZFYVE16	"zinc finger, FYVE domain containing 16"
